system,eligible,repetition,ordinal,query,latency_ns_e2e
qenlo_cuda_buffered_prototype,1000,0,95,21,78921
qenlo_cuda_buffered_prototype,1000,0,96,59,77594
qenlo_cuda_buffered_prototype,1000,0,97,97,76127
qenlo_cuda_buffered_prototype,1000,0,98,34,83810
qenlo_cuda_buffered_prototype,1000,0,99,82,78991
faiss_gpu_flat_ip,1000,0,0,35,87092
faiss_gpu_flat_ip,1000,0,1,83,72426
faiss_gpu_flat_ip,1000,0,2,63,101829
faiss_gpu_flat_ip,1000,0,3,32,71448
faiss_gpu_flat_ip,1000,0,4,96,68096
faiss_gpu_flat_ip,1000,0,5,94,74242
faiss_gpu_flat_ip,1000,0,6,19,67188
faiss_gpu_flat_ip,1000,0,7,86,67188
faiss_gpu_flat_ip,1000,0,8,43,66279
faiss_gpu_flat_ip,1000,0,9,53,65302
faiss_gpu_flat_ip,1000,0,10,0,65791
faiss_gpu_flat_ip,1000,0,11,15,65302
faiss_gpu_flat_ip,1000,0,12,11,69562
faiss_gpu_flat_ip,1000,0,13,60,66210
faiss_gpu_flat_ip,1000,0,14,37,66210
faiss_gpu_flat_ip,1000,0,15,22,65790
faiss_gpu_flat_ip,1000,0,16,51,70121
faiss_gpu_flat_ip,1000,0,17,57,72425
faiss_gpu_flat_ip,1000,0,18,78,66210
faiss_gpu_flat_ip,1000,0,19,1,70120
faiss_gpu_flat_ip,1000,0,20,9,67188
faiss_gpu_flat_ip,1000,0,21,2,66699
faiss_gpu_flat_ip,1000,0,22,16,65302
faiss_gpu_flat_ip,1000,0,23,12,65302
faiss_gpu_flat_ip,1000,0,24,85,66279
faiss_gpu_flat_ip,1000,0,25,61,66210
faiss_gpu_flat_ip,1000,0,26,72,64324
faiss_gpu_flat_ip,1000,0,27,48,65790
faiss_gpu_flat_ip,1000,0,28,92,64883
faiss_gpu_flat_ip,1000,0,29,26,66209
faiss_gpu_flat_ip,1000,0,30,24,87511
faiss_gpu_flat_ip,1000,0,31,52,74800
faiss_gpu_flat_ip,1000,0,32,30,67117
faiss_gpu_flat_ip,1000,0,33,17,66280
faiss_gpu_flat_ip,1000,0,34,64,65721
faiss_gpu_flat_ip,1000,0,35,87,66279
faiss_gpu_flat_ip,1000,0,36,91,67187
faiss_gpu_flat_ip,1000,0,37,46,65791
faiss_gpu_flat_ip,1000,0,38,40,68025
faiss_gpu_flat_ip,1000,0,39,58,66698
faiss_gpu_flat_ip,1000,0,40,55,66699
faiss_gpu_flat_ip,1000,0,41,90,64813
faiss_gpu_flat_ip,1000,0,42,71,66768
faiss_gpu_flat_ip,1000,0,43,28,65721
faiss_gpu_flat_ip,1000,0,44,41,95194
faiss_gpu_flat_ip,1000,0,45,29,68585
faiss_gpu_flat_ip,1000,0,46,75,66699
faiss_gpu_flat_ip,1000,0,47,36,66699
faiss_gpu_flat_ip,1000,0,48,42,65232
faiss_gpu_flat_ip,1000,0,49,13,65372
faiss_gpu_flat_ip,1000,0,50,25,65232
faiss_gpu_flat_ip,1000,0,51,10,67257
faiss_gpu_flat_ip,1000,0,52,47,67118
faiss_gpu_flat_ip,1000,0,53,8,65721
faiss_gpu_flat_ip,1000,0,54,27,68515
faiss_gpu_flat_ip,1000,0,55,44,64813
faiss_gpu_flat_ip,1000,0,56,89,67747
faiss_gpu_flat_ip,1000,0,57,33,69074
faiss_gpu_flat_ip,1000,0,58,49,98895
faiss_gpu_flat_ip,1000,0,59,54,70470
faiss_gpu_flat_ip,1000,0,60,98,67676
faiss_gpu_flat_ip,1000,0,61,23,68514
faiss_gpu_flat_ip,1000,0,62,31,69492
faiss_gpu_flat_ip,1000,0,63,74,66698
faiss_gpu_flat_ip,1000,0,64,99,67187
faiss_gpu_flat_ip,1000,0,65,5,67187
faiss_gpu_flat_ip,1000,0,66,76,67188
faiss_gpu_flat_ip,1000,0,67,14,73334
faiss_gpu_flat_ip,1000,0,68,95,66699
faiss_gpu_flat_ip,1000,0,69,88,65721
faiss_gpu_flat_ip,1000,0,70,50,67187
faiss_gpu_flat_ip,1000,0,71,20,66698
faiss_gpu_flat_ip,1000,0,72,77,86674
faiss_gpu_flat_ip,1000,0,73,67,64813
faiss_gpu_flat_ip,1000,0,74,66,70051
faiss_gpu_flat_ip,1000,0,75,69,66210
faiss_gpu_flat_ip,1000,0,76,79,65721
faiss_gpu_flat_ip,1000,0,77,81,67746
faiss_gpu_flat_ip,1000,0,78,6,66699
faiss_gpu_flat_ip,1000,0,79,70,66279
faiss_gpu_flat_ip,1000,0,80,73,65791
faiss_gpu_flat_ip,1000,0,81,84,67607
faiss_gpu_flat_ip,1000,0,82,93,65302
faiss_gpu_flat_ip,1000,0,83,39,66210
faiss_gpu_flat_ip,1000,0,84,45,65721
faiss_gpu_flat_ip,1000,0,85,4,72286
faiss_gpu_flat_ip,1000,0,86,80,87930
faiss_gpu_flat_ip,1000,0,87,62,66698
faiss_gpu_flat_ip,1000,0,88,18,66210
faiss_gpu_flat_ip,1000,0,89,65,65232
faiss_gpu_flat_ip,1000,0,90,3,65302
faiss_gpu_flat_ip,1000,0,91,68,65302
faiss_gpu_flat_ip,1000,0,92,56,66698
faiss_gpu_flat_ip,1000,0,93,38,66210
faiss_gpu_flat_ip,1000,0,94,7,65302
faiss_gpu_flat_ip,1000,0,95,21,64813
faiss_gpu_flat_ip,1000,0,96,59,65721
faiss_gpu_flat_ip,1000,0,97,97,69562
faiss_gpu_flat_ip,1000,0,98,34,66209
faiss_gpu_flat_ip,1000,0,99,82,71378
faiss_gpu_flat_ip,1000,1,0,4,80877
faiss_gpu_flat_ip,1000,1,1,85,69143
faiss_gpu_flat_ip,1000,1,2,40,67677
faiss_gpu_flat_ip,1000,1,3,6,68585
faiss_gpu_flat_ip,1000,1,4,17,66280
faiss_gpu_flat_ip,1000,1,5,62,66210
faiss_gpu_flat_ip,1000,1,6,76,66769
faiss_gpu_flat_ip,1000,1,7,38,66628
faiss_gpu_flat_ip,1000,1,8,51,65721
faiss_gpu_flat_ip,1000,1,9,46,66210
faiss_gpu_flat_ip,1000,1,10,67,65302
faiss_gpu_flat_ip,1000,1,11,81,66279
faiss_gpu_flat_ip,1000,1,12,52,66280
faiss_gpu_flat_ip,1000,1,13,70,88489
faiss_gpu_flat_ip,1000,1,14,84,69632
faiss_gpu_flat_ip,1000,1,15,30,65791
faiss_gpu_flat_ip,1000,1,16,41,69143
faiss_gpu_flat_ip,1000,1,17,63,66280
faiss_gpu_flat_ip,1000,1,18,33,65791
faiss_gpu_flat_ip,1000,1,19,2,65790
faiss_gpu_flat_ip,1000,1,20,24,65372
faiss_gpu_flat_ip,1000,1,21,9,66209
faiss_gpu_flat_ip,1000,1,22,86,66698
faiss_gpu_flat_ip,1000,1,23,69,66210
faiss_gpu_flat_ip,1000,1,24,31,65302
faiss_gpu_flat_ip,1000,1,25,64,98407
faiss_gpu_flat_ip,1000,1,26,12,72425
faiss_gpu_flat_ip,1000,1,27,14,67676
faiss_gpu_flat_ip,1000,1,28,10,66699
faiss_gpu_flat_ip,1000,1,29,1,65302
faiss_gpu_flat_ip,1000,1,30,50,66699
faiss_gpu_flat_ip,1000,1,31,22,66280
faiss_gpu_flat_ip,1000,1,32,49,66210
faiss_gpu_flat_ip,1000,1,33,91,66210
faiss_gpu_flat_ip,1000,1,34,73,66279
faiss_gpu_flat_ip,1000,1,35,99,66768
faiss_gpu_flat_ip,1000,1,36,56,66280
faiss_gpu_flat_ip,1000,1,37,3,68585
faiss_gpu_flat_ip,1000,1,38,19,67188
faiss_gpu_flat_ip,1000,1,39,59,82832
faiss_gpu_flat_ip,1000,1,40,39,69074
faiss_gpu_flat_ip,1000,1,41,37,65791
faiss_gpu_flat_ip,1000,1,42,55,66768
faiss_gpu_flat_ip,1000,1,43,8,66210
faiss_gpu_flat_ip,1000,1,44,27,66210
faiss_gpu_flat_ip,1000,1,45,61,68655
faiss_gpu_flat_ip,1000,1,46,43,68096
faiss_gpu_flat_ip,1000,1,47,96,68584
faiss_gpu_flat_ip,1000,1,48,20,68584
faiss_gpu_flat_ip,1000,1,49,48,70051
faiss_gpu_flat_ip,1000,1,50,66,68654
faiss_gpu_flat_ip,1000,1,51,78,68584
faiss_gpu_flat_ip,1000,1,52,13,67746
faiss_gpu_flat_ip,1000,1,53,28,75220
faiss_gpu_flat_ip,1000,1,54,53,69003
faiss_gpu_flat_ip,1000,1,55,93,69562
faiss_gpu_flat_ip,1000,1,56,74,70540
faiss_gpu_flat_ip,1000,1,57,29,68166
faiss_gpu_flat_ip,1000,1,58,11,68165
faiss_gpu_flat_ip,1000,1,59,32,68096
faiss_gpu_flat_ip,1000,1,60,15,67188
faiss_gpu_flat_ip,1000,1,61,97,69632
faiss_gpu_flat_ip,1000,1,62,47,72845
faiss_gpu_flat_ip,1000,1,63,65,68236
faiss_gpu_flat_ip,1000,1,64,90,67188
faiss_gpu_flat_ip,1000,1,65,89,67188
faiss_gpu_flat_ip,1000,1,66,87,69143
faiss_gpu_flat_ip,1000,1,67,72,90375
faiss_gpu_flat_ip,1000,1,68,16,70400
faiss_gpu_flat_ip,1000,1,69,75,66698
faiss_gpu_flat_ip,1000,1,70,45,64883
faiss_gpu_flat_ip,1000,1,71,94,73334
faiss_gpu_flat_ip,1000,1,72,83,65791
faiss_gpu_flat_ip,1000,1,73,80,65791
faiss_gpu_flat_ip,1000,1,74,44,64324
faiss_gpu_flat_ip,1000,1,75,34,66280
faiss_gpu_flat_ip,1000,1,76,7,66699
faiss_gpu_flat_ip,1000,1,77,79,64813
faiss_gpu_flat_ip,1000,1,78,0,66698
faiss_gpu_flat_ip,1000,1,79,98,68095
faiss_gpu_flat_ip,1000,1,80,92,68165
faiss_gpu_flat_ip,1000,1,81,35,85695
faiss_gpu_flat_ip,1000,1,82,25,70540
faiss_gpu_flat_ip,1000,1,83,71,66698
faiss_gpu_flat_ip,1000,1,84,58,66698
faiss_gpu_flat_ip,1000,1,85,77,67188
faiss_gpu_flat_ip,1000,1,86,88,69562
faiss_gpu_flat_ip,1000,1,87,18,66699
faiss_gpu_flat_ip,1000,1,88,68,71028
faiss_gpu_flat_ip,1000,1,89,95,67188
faiss_gpu_flat_ip,1000,1,90,5,66699
faiss_gpu_flat_ip,1000,1,91,26,68095
faiss_gpu_flat_ip,1000,1,92,54,68096
faiss_gpu_flat_ip,1000,1,93,23,70051
faiss_gpu_flat_ip,1000,1,94,21,89467
faiss_gpu_flat_ip,1000,1,95,60,70959
faiss_gpu_flat_ip,1000,1,96,82,68236
faiss_gpu_flat_ip,1000,1,97,36,69493
faiss_gpu_flat_ip,1000,1,98,42,68095
faiss_gpu_flat_ip,1000,1,99,57,68165
qenlo_cuda_buffered_prototype,1000,1,0,4,102248
qenlo_cuda_buffered_prototype,1000,1,1,85,82343
qenlo_cuda_buffered_prototype,1000,1,2,40,79409
qenlo_cuda_buffered_prototype,1000,1,3,6,76616
qenlo_cuda_buffered_prototype,1000,1,4,17,79480
qenlo_cuda_buffered_prototype,1000,1,5,62,77524
qenlo_cuda_buffered_prototype,1000,1,6,76,77524
qenlo_cuda_buffered_prototype,1000,1,7,38,111677
qenlo_cuda_buffered_prototype,1000,1,8,51,75708
qenlo_cuda_buffered_prototype,1000,1,9,46,78013
qenlo_cuda_buffered_prototype,1000,1,10,67,86464
qenlo_cuda_buffered_prototype,1000,1,11,81,75639
qenlo_cuda_buffered_prototype,1000,1,12,52,75708
qenlo_cuda_buffered_prototype,1000,1,13,70,77175
qenlo_cuda_buffered_prototype,1000,1,14,84,75708
qenlo_cuda_buffered_prototype,1000,1,15,30,77524
qenlo_cuda_buffered_prototype,1000,1,16,41,77105
qenlo_cuda_buffered_prototype,1000,1,17,63,77594
qenlo_cuda_buffered_prototype,1000,1,18,33,102248
qenlo_cuda_buffered_prototype,1000,1,19,2,77175
qenlo_cuda_buffered_prototype,1000,1,20,24,75778
qenlo_cuda_buffered_prototype,1000,1,21,9,84229
qenlo_cuda_buffered_prototype,1000,1,22,86,77524
qenlo_cuda_buffered_prototype,1000,1,23,69,78432
qenlo_cuda_buffered_prototype,1000,1,24,31,75219
qenlo_cuda_buffered_prototype,1000,1,25,64,77175
qenlo_cuda_buffered_prototype,1000,1,26,12,76616
