run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
0,34,21,1,58848484,1.0,"[[""31414"", ""36329"", ""24136"", ""15373"", ""34971"", ""1007"", ""16449"", ""20401"", ""43202"", ""43814""]]"
0,35,39,1,60608775,1.0,"[[""9281"", ""6887"", ""6025"", ""10065"", ""16449"", ""13989"", ""46062"", ""19174"", ""8791"", ""15373""]]"
0,36,1,1,58816697,1.0,"[[""6019"", ""1007"", ""10065"", ""20401"", ""34971"", ""18366"", ""47644"", ""31414"", ""842"", ""4465""]]"
0,37,56,1,59601894,1.0,"[[""19174"", ""9281"", ""23389"", ""15373"", ""8791"", ""12794"", ""13989"", ""6887"", ""46062"", ""47644""]]"
0,38,32,1,59921824,1.0,"[[""36488"", ""10065"", ""20401"", ""6019"", ""32558"", ""9281"", ""3983"", ""2259"", ""6313"", ""32465""]]"
0,39,45,1,58411608,1.0,"[[""31414"", ""12192"", ""7911"", ""13989"", ""842"", ""19174"", ""20401"", ""24333"", ""8791"", ""43814""]]"
0,40,54,1,60238499,1.0,"[[""13989"", ""6887"", ""18366"", ""33554"", ""24333"", ""2259"", ""1137"", ""48969"", ""15373"", ""23389""]]"
0,41,18,1,61482697,1.0,"[[""9281"", ""7911"", ""32465"", ""4465"", ""18366"", ""8791"", ""47455"", ""43202"", ""31414"", ""36488""]]"
0,42,10,1,60289816,1.0,"[[""41950"", ""24333"", ""48969"", ""2489"", ""8791"", ""36329"", ""18366"", ""5905"", ""46062"", ""19174""]]"
0,43,51,1,59126061,1.0,"[[""29753"", ""32465"", ""12192"", ""43202"", ""31414"", ""23159"", ""20401"", ""47674"", ""47644"", ""1007""]]"
0,44,0,1,61585801,1.0,"[[""48969"", ""4407"", ""1137"", ""32558"", ""4465"", ""43814"", ""7911"", ""34971"", ""16761"", ""43202""]]"
0,45,47,1,61366092,1.0,"[[""16761"", ""23389"", ""48969"", ""20401"", ""2489"", ""24333"", ""2259"", ""15373"", ""5905"", ""18366""]]"
0,46,5,1,59087172,1.0,"[[""1137"", ""2259"", ""24136"", ""3983"", ""31414"", ""43814"", ""29753"", ""2489"", ""20401"", ""47644""]]"
0,47,63,1,58330247,1.0,"[[""41950"", ""18493"", ""47674"", ""2489"", ""6887"", ""24333"", ""36488"", ""13989"", ""12794"", ""7911""]]"
0,48,38,1,59161484,1.0,"[[""9281"", ""5657"", ""18493"", ""41950"", ""12794"", ""4465"", ""34971"", ""46062"", ""16761"", ""5905""]]"
0,49,48,1,59946011,1.0,"[[""5657"", ""48969"", ""24333"", ""12794"", ""32465"", ""19174"", ""47674"", ""2489"", ""41950"", ""23389""]]"
0,50,52,1,58364889,1.0,"[[""32465"", ""2259"", ""6887"", ""36329"", ""48969"", ""10065"", ""29753"", ""1137"", ""47644"", ""4407""]]"
0,51,20,1,60867003,1.0,"[[""6887"", ""4465"", ""47455"", ""23389"", ""12794"", ""2259"", ""15373"", ""7911"", ""24333"", ""41950""]]"
0,52,58,1,59746171,1.0,"[[""18366"", ""46062"", ""2259"", ""9281"", ""1007"", ""19174"", ""4407"", ""6019"", ""24136"", ""6025""]]"
0,53,61,1,60805401,1.0,"[[""31414"", ""23159"", ""2259"", ""8791"", ""20401"", ""29753"", ""15373"", ""32465"", ""4407"", ""6313""]]"
0,54,6,1,59736026,1.0,"[[""5657"", ""48969"", ""6025"", ""31414"", ""32558"", ""33554"", ""7911"", ""5905"", ""18493"", ""47674""]]"
0,55,59,1,62177089,1.0,"[[""10065"", ""24333"", ""4465"", ""12794"", ""5657"", ""34971"", ""36329"", ""6025"", ""842"", ""32558""]]"
0,56,57,1,60985120,1.0,"[[""4407"", ""8791"", ""5905"", ""23159"", ""24333"", ""16449"", ""32558"", ""19174"", ""12192"", ""9281""]]"
0,57,62,1,58536025,1.0,"[[""48969"", ""9281"", ""5905"", ""47674"", ""32465"", ""18493"", ""12794"", ""4465"", ""19174"", ""2259""]]"
0,58,40,1,58160712,1.0,"[[""43814"", ""24136"", ""6025"", ""33554"", ""18493"", ""32558"", ""12192"", ""2489"", ""1007"", ""3983""]]"
0,59,28,1,60870297,1.0,"[[""842"", ""15373"", ""31414"", ""12794"", ""1007"", ""39450"", ""13989"", ""5905"", ""47674"", ""29753""]]"
0,60,42,1,59789226,1.0,"[[""4407"", ""1137"", ""43202"", ""39450"", ""47644"", ""6019"", ""32558"", ""24333"", ""16449"", ""6887""]]"
0,61,26,1,59932040,1.0,"[[""41950"", ""6887"", ""12192"", ""9281"", ""19174"", ""842"", ""2489"", ""12794"", ""36329"", ""18366""]]"
0,62,36,1,60518139,1.0,"[[""24333"", ""18366"", ""36329"", ""8791"", ""4465"", ""33554"", ""48969"", ""15373"", ""4407"", ""24136""]]"
0,63,4,1,60948486,1.0,"[[""12794"", ""13989"", ""33554"", ""6025"", ""34971"", ""5905"", ""29753"", ""4465"", ""9281"", ""32465""]]"
1,0,16,1,62844290,1.0,"[[""1007"", ""16761"", ""6019"", ""32465"", ""39450"", ""5657"", ""1137"", ""43814"", ""842"", ""12794""]]"
1,1,14,1,61522377,1.0,"[[""5657"", ""8791"", ""47455"", ""18366"", ""36488"", ""19174"", ""47674"", ""4407"", ""46062"", ""43202""]]"
1,2,4,1,58383255,1.0,"[[""12794"", ""13989"", ""33554"", ""6025"", ""34971"", ""5905"", ""29753"", ""4465"", ""9281"", ""32465""]]"
1,3,36,1,58454773,1.0,"[[""24333"", ""18366"", ""36329"", ""8791"", ""4465"", ""33554"", ""48969"", ""15373"", ""4407"", ""24136""]]"
1,4,26,1,59740162,1.0,"[[""41950"", ""6887"", ""12192"", ""9281"", ""19174"", ""842"", ""2489"", ""12794"", ""36329"", ""18366""]]"
1,5,30,1,60803929,1.0,"[[""32558"", ""41950"", ""12192"", ""31414"", ""10065"", ""13989"", ""47674"", ""23159"", ""5657"", ""6019""]]"
1,6,3,1,60763237,1.0,"[[""24333"", ""34971"", ""33554"", ""2489"", ""24507"", ""6025"", ""36329"", ""46062"", ""12794"", ""18366""]]"
1,7,32,1,58135614,1.0,"[[""36488"", ""10065"", ""20401"", ""6019"", ""32558"", ""9281"", ""3983"", ""2259"", ""6313"", ""32465""]]"
1,8,15,1,60229416,1.0,"[[""18493"", ""6887"", ""6025"", ""34971"", ""18366"", ""15373"", ""24333"", ""19174"", ""5657"", ""4407""]]"
1,9,10,1,59634994,1.0,"[[""41950"", ""24333"", ""48969"", ""2489"", ""8791"", ""36329"", ""18366"", ""5905"", ""46062"", ""19174""]]"
1,10,38,1,60880573,1.0,"[[""9281"", ""5657"", ""18493"", ""41950"", ""12794"", ""4465"", ""34971"", ""46062"", ""16761"", ""5905""]]"
1,11,24,1,60395205,1.0,"[[""48969"", ""34971"", ""23389"", ""43814"", ""47644"", ""842"", ""24507"", ""39450"", ""12794"", ""16449""]]"
