host,engine,E,metric,n,ratio,lo,hi
"RTX 4090 pods, Linux",gpu-rows,3000,p50,5,0.959727490611259,0.5437391782994456,0.9860431404057829
"RTX 4090 pods, Linux",gpu-rows,3000,p95,5,1.2345886796328098,0.8227562647907415,1.7242136661015663
"RTX 4090 pods, Linux",gpu-rows,3000,sel,5,0.8744131455399061,0.345814503981063,0.9368288060644346
"RTX 4090 pods, Linux",gpu-rows,3000,score,5,0.8755760368663595,0.42158516020236086,0.9677419354838711
"RTX 4090 pods, Linux",gpu-rows,3000,mat,5,1.0007099812980536,0.5773652388657072,1.1087179838378303
"RTX 4090 pods, Linux",gpu-rows,10000,p50,5,0.9419938311121457,0.6385638492916987,0.9974224661179014
"RTX 4090 pods, Linux",gpu-rows,10000,p95,5,1.0876433277974429,0.6922408092863681,1.1675146397446314
"RTX 4090 pods, Linux",gpu-rows,10000,sel,5,0.8156889188581704,0.33883669146798456,0.9136196319018406
"RTX 4090 pods, Linux",gpu-rows,10000,score,5,0.8236914600550964,0.3724696356275304,0.9278688524590164
"RTX 4090 pods, Linux",gpu-rows,10000,mat,5,1.0174991779126072,0.7507167704041642,1.1175569542694814
"RTX 4090 pods, Linux",gpu-rows,30000,p50,5,1.068581013013979,0.5711021211006748,1.0863597108604148
"RTX 4090 pods, Linux",gpu-rows,30000,p95,5,1.139302661440066,0.5993230223848596,1.244487588406601
"RTX 4090 pods, Linux",gpu-rows,30000,sel,5,0.9966494060310691,0.4609066804630408,0.9992636229749632
"RTX 4090 pods, Linux",gpu-rows,30000,score,5,1.034090909090909,0.47503566333808844,1.042301184433164
"RTX 4090 pods, Linux",gpu-rows,30000,mat,5,0.9790889580647816,0.577131541120221,0.9916970445223314
"RTX 4090 pods, Linux",gpu-predicate,100,p50,5,1.069255920542659,0.9466133729320645,1.076691983080785
"RTX 4090 pods, Linux",gpu-predicate,100,p95,5,1.0606584520138698,1.0073132436280154,1.0703295338668348
"RTX 4090 pods, Linux",gpu-predicate,100,sel,5,1.000480584390619,0.998749710581153,1.0006458343683242
"RTX 4090 pods, Linux",gpu-predicate,100,score,5,0.9970887918486171,0.9906291834002676,1.0
"RTX 4090 pods, Linux",gpu-predicate,1000,p50,5,1.0730673465678506,1.0590969696091361,1.2798586490849133
"RTX 4090 pods, Linux",gpu-predicate,1000,p95,5,1.0718347751437958,1.0480959559855707,1.122367264818268
"RTX 4090 pods, Linux",gpu-predicate,1000,sel,5,0.9998095419483859,0.9976518255904968,1.0008825715347456
"RTX 4090 pods, Linux",gpu-predicate,1000,score,5,1.0,0.9986091794158554,1.016839378238342
"RTX 4090 pods, Linux",gpu-predicate,3000,p50,5,1.0660623959948898,1.0242935042269317,1.0718275545023817
"RTX 4090 pods, Linux",gpu-predicate,3000,p95,5,1.0712746031377465,1.049244746946014,1.0760590869792692
"RTX 4090 pods, Linux",gpu-predicate,3000,sel,5,0.9998146689524162,0.9978969014347806,1.0005893330714075
"RTX 4090 pods, Linux",gpu-predicate,3000,score,5,1.0012674271229405,0.9975429975429975,1.0166865315852205
