run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,191106,230417,245595,13036731,4909.206149915957,1,true
1,64,64,137473,213152,220403,11343479,5642.00806472159,1,true
2,64,64,194871,234433,274301,13867987,4614.945197165241,1,true
