engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
torch-cpu,0,1,64,873831,873831,873831,6254896,10231.98467248696,64,1.0,
torch-cpu,1,1,64,771838,771838,771838,5722266,11184.380453477695,64,1.0,
torch-cpu,2,1,64,769585,769585,769585,5651510,11324.407105357683,64,1.0,
