run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,2933757,3243396,3366516,196004654,326.52285899292986,1.0,True
1,64,64,2938065,3262473,3350247,195177437,327.9067549186026,1.0,True
2,64,64,2944748,3285675,3371205,195550364,327.2814158504967,1.0,True
