run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,8,64,232088,430315,430315,3028314,21133.871850805433,1,true
1,8,64,233340,414903,414903,3074213,20818.336270128322,1,true
2,8,64,232218,265208,265208,2622866,24400.789060516243,1,true
