run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,313,5000,157927,187191,315163,110578677,45216.67409712272,10,1,1,true
1,313,5000,155594,171958,209404,108186126,46216.64704030534,10,1,1,true
2,313,5000,154632,160842,165979,104797001,47711.28899003512,10,1,1,true
