experiment,batch,eligible,fraction,engine,metric,n_blocks,n_repetitions_per_block,median_ns,ci95_low_ns,ci95_high_ns,min_ns,max_ns,median_within_block_max_min_ratio,max_within_block_max_min_ratio
e2,1,30000,0.3,gpu-mask,p50_ns,5,3,3608065.0,2766697.0,4446374.0,2766697,4446374,1.3084880265710137,1.7014931624208074
e2,1,30000,0.3,gpu-mask,p95_ns,5,3,4870544.0,4588553.0,5089864.0,4588553,5089864,1.2692228231303402,1.5038101881991461
e2,1,30000,0.3,gpu-predicate,p50_ns,5,3,4343644.0,4258095.0,4361924.0,4258095,4361924,1.019688395959453,1.0823171206254987
e2,1,30000,0.3,gpu-predicate,p95_ns,5,3,4696033.0,4558634.0,5335853.0,4558634,5335853,1.0435075433417118,1.1992358859586674
e2,1,30000,0.3,gpu-rows,p50_ns,5,3,4360264.0,3480825.0,4531944.0,3480825,4531944,1.30264874100693,1.4037512575584503
e2,1,30000,0.3,gpu-rows,p95_ns,5,3,4883474.0,4634014.0,6011082.0,4634014,6011082,1.1172856864022973,1.5185239935661006
e2,1,100000,1.0,cpu,p50_ns,5,3,11541369.0,11498354.0,11595814.0,11498354,11595814,1.0102354082669138,1.011716052724373
e2,1,100000,1.0,cpu,p95_ns,5,3,12281207.0,11894898.0,12438543.0,11894898,12438543,1.028328421847543,1.0498101147229948
e2,1,100000,1.0,gpu-mask,p50_ns,5,3,1688438.0,1680988.0,1718368.0,1680988,1718368,1.0086438568051577,1.0211569631510249
e2,1,100000,1.0,gpu-mask,p95_ns,5,3,1887377.0,1777629.0,1945888.0,1777629,1945888,1.0343771414509717,1.110105042158782
e2,1,100000,1.0,gpu-predicate,p50_ns,5,3,1535308.0,1519368.0,1547868.0,1519368,1547868,1.0137259828013043,1.0259295025603656
e2,1,100000,1.0,gpu-predicate,p95_ns,5,3,1651298.0,1591628.0,1675779.0,1591628,1675779,1.0259001542069015,1.0507938170509137
e2,1,100000,1.0,gpu-rows,p50_ns,5,3,2545006.0,2023518.0,2573567.0,2023518,2573567,1.0328979089390642,1.1032508853593468
e2,1,100000,1.0,gpu-rows,p95_ns,5,3,2704256.0,2581146.0,2929437.0,2581146,2929437,1.0758168220606097,1.2618489090440177
e2,16,100,0.001,cpu,p50_ns,5,3,278010.0,275470.0,284710.0,275470,284710,1.009801063907309,1.0649992781868052
e2,16,100,0.001,cpu,p95_ns,5,3,362590.0,343420.0,380020.0,343420,380020,1.0823905839332648,1.1138185255788269
e2,16,100,0.001,gpu-mask,p50_ns,5,3,1223289.0,1185929.0,1316389.0,1185929,1316389,1.0714099521768436,1.0902510517995254
e2,16,100,0.001,gpu-mask,p95_ns,5,3,1403279.0,1221849.0,1525369.0,1221849,1525369,1.1281398792516992,1.1611346868484718
e2,16,100,0.001,gpu-predicate,p50_ns,5,3,1208859.0,1204799.0,1366519.0,1204799,1366519,1.0092571221518218,1.1256872671400104
e2,16,100,0.001,gpu-predicate,p95_ns,5,3,1325549.0,1230859.0,1397369.0,1230859,1397369,1.0421856542760026,1.0629871512360316
e2,16,100,0.001,gpu-rows,p50_ns,5,3,198280.0,195980.0,201420.0,195980,201420,1.0186184220618841,1.079445773524721
e2,16,100,0.001,gpu-rows,p95_ns,5,3,234249.0,206920.0,250240.0,206920,250240,1.0208636564673716,1.1364232421433416
e2,16,1000,0.01,cpu,p50_ns,5,3,1751809.0,1728219.0,1794569.0,1728219,1794569,1.0025905607559078,1.0251321749231515
e2,16,1000,0.01,cpu,p95_ns,5,3,1842178.0,1770899.0,2637408.0,1770899,2637408,1.0227693427003834,1.5145448739651852
e2,16,1000,0.01,gpu-mask,p50_ns,5,3,1457878.0,1353108.0,1483989.0,1353108,1483989,1.019503114624329,1.1021740736143717
e2,16,1000,0.01,gpu-mask,p95_ns,5,3,1606138.0,1477229.0,1641719.0,1477229,1641719,1.0661975479586223,1.192273387791116
e2,16,1000,0.01,gpu-predicate,p50_ns,5,3,1458618.0,1414419.0,1460239.0,1414419,1460239,1.0673628666219628,1.1012742465319916
e2,16,1000,0.01,gpu-predicate,p95_ns,5,3,1502418.0,1490349.0,1582318.0,1490349,1582318,1.1000341820281518,1.1509979075915362
e2,16,1000,0.01,gpu-rows,p50_ns,5,3,251910.0,248300.0,255830.0,248300,255830,1.182957900270959,1.2206198709266194
e2,16,1000,0.01,gpu-rows,p95_ns,5,3,268290.0,261440.0,316330.0,261440,316330,1.1653413901932106,1.2298100454492484
e2,16,3000,0.03,cpu,p50_ns,5,3,5692315.0,5241996.0,5878644.0,5241996,5878644,1.0285363439819175,1.0729806381684415
e2,16,3000,0.03,cpu,p95_ns,5,3,5873945.0,5389635.0,6779284.0,5389635,6779284,1.1642115180751342,1.2053861147863683
e2,16,3000,0.03,gpu-mask,p50_ns,5,3,1627769.0,1622878.0,1659638.0,1622878,1659638,1.0132745203594595,1.093867376170238
e2,16,3000,0.03,gpu-mask,p95_ns,5,3,1707498.0,1655239.0,1934758.0,1655239,1934758,1.0474673069387417,1.0918570480614276
e2,16,3000,0.03,gpu-predicate,p50_ns,5,3,1629619.0,1362769.0,1649679.0,1362769,1649679,1.0092430206265302,1.1018513150327633
e2,16,3000,0.03,gpu-predicate,p95_ns,5,3,1659279.0,1472509.0,1711908.0,1472509,1711908,1.0256120357704421,1.0636227274530716
e2,16,3000,0.03,gpu-rows,p50_ns,5,3,964859.0,805830.0,1078729.0,805830,1078729,1.1866489048155977,1.2432497625356196
e2,16,3000,0.03,gpu-rows,p95_ns,5,3,1104289.0,961329.0,1228959.0,961329,1228959,1.3531247147780938,1.6377729140149946
e2,16,10000,0.1,cpu,p50_ns,5,3,62286006.0,62189283.0,63411291.0,62189283,63411291,1.0153523325389384,1.0826635383639822
e2,16,10000,0.1,cpu,p95_ns,5,3,74766356.0,66611343.0,86754816.0,66611343,86754816,1.3713153122772452,1.4496781747776915
e2,16,10000,0.1,gpu-mask,p50_ns,5,3,2267778.0,2262378.0,2272928.0,2262378,2272928,1.0145062302399108,1.0297376385859973
e2,16,10000,0.1,gpu-mask,p95_ns,5,3,2316920.0,2294438.0,2373158.0,2294438,2373158,1.013257814354605,1.0304997046744337
e2,16,10000,0.1,gpu-predicate,p50_ns,5,3,2263338.0,2238818.0,2267189.0,2238818,2267189,1.0118207235645291,1.0275440986682163
e2,16,10000,0.1,gpu-predicate,p95_ns,5,3,2345241.0,2310488.0,2387167.0,2310488,2387167,1.0341859500474673,1.2510980597374737
e2,16,10000,0.1,gpu-rows,p50_ns,5,3,2127438.0,2076178.0,2410861.0,2076178,2410861,1.0333553613571635,1.3010755060162054
e2,16,10000,0.1,gpu-rows,p95_ns,5,3,2232559.0,2214758.0,3638341.0,2214758,3638341,1.1388492638590977,1.2908871848832242
e2,16,30000,0.3,cpu,p50_ns,1,3,154647726.0,154647726.0,154647726.0,154647726,154647726,1.0139107625585533,1.0139107625585533
e2,16,30000,0.3,cpu,p95_ns,1,3,172613848.0,172613848.0,172613848.0,172613848,172613848,1.092549170779666,1.092549170779666
e2,16,30000,0.3,gpu-mask,p50_ns,2,3,4923158.0,4751295.0,5095021.0,4751295,5095021,1.1520094995104537,1.1942096831604077
e2,16,30000,0.3,gpu-mask,p95_ns,2,3,5367218.5,5022035.0,5712402.0,5022035,5712402,1.182712051811738,1.1863463014611209
e2,16,30000,0.3,gpu-predicate,p50_ns,2,3,5183743.0,5170985.0,5196501.0,5170985,5196501,1.0385542477280532,1.0534524554536837
e2,16,30000,0.3,gpu-predicate,p95_ns,2,3,5768732.5,5562571.0,5974894.0,5562571,5974894,1.1099407074571843,1.119514302352134
e2,16,30000,0.3,gpu-rows,p50_ns,2,3,5260589.0,5184034.0,5337144.0,5184034,5337144,1.0329446755596763,1.0546104342874165
e2,16,30000,0.3,gpu-rows,p95_ns,2,3,5770149.0,5434064.0,6106234.0,5434064,6106234,1.099689036692201,1.1146743968575095
