experiment,batch,eligible,fraction,block,engine,n_repetitions,p50_ns,p95_ns,p50_spread_ratio,p95_spread_ratio,p50_min_ns,p50_max_ns,p95_min_ns,p95_max_ns,evaluation_recall_at_10,tuning_recall_at_10,filter_violations,process_returncode,started_unix,path
e2,16,100,0.001,0,gpu-mask,3,1185929,1221849,1.0714099521768436,1.1281398792516992,1185409,1270059,1216249,1372099,1,1,0,0,1790263601.7448013,e2/b16-e100/block-00/gpu-mask/summary.txt
e2,16,100,0.001,0,gpu-predicate,3,1210539,1275949,1.0092571221518218,1.016466608373616,1208799,1219989,1272879,1293839,1,1,0,0,1790263533.7536442,e2/b16-e100/block-00/gpu-predicate/summary.txt
e2,16,100,0.001,0,gpu-rows,3,197600,230490,1.017210573736695,1.03164114366646,196449,199830,225940,233089,1,1,0,0,1790263568.7165258,e2/b16-e100/block-00/gpu-rows/summary.txt
e2,16,100,0.001,1,cpu,3,284710,343420,1.0011947011490214,1.0951050012138868,284590,284930,329520,360859,1,1,0,0,1790263636.7240672,e2/b16-e100/block-01/cpu/summary.txt
e2,16,100,0.001,1,gpu-mask,3,1316389,1525369,1.0543455750244806,1.138940672357038,1279589,1349129,1367339,1557318,1,1,0,0,1790263737.2460592,e2/b16-e100/block-01/gpu-mask/summary.txt
e2,16,100,0.001,1,gpu-predicate,3,1208859,1325549,1.0033260551744565,1.0434480028847943,1208639,1212659,1306159,1362909,1,1,0,0,1790263669.1495821,e2/b16-e100/block-01/gpu-predicate/summary.txt
e2,16,100,0.001,1,gpu-rows,3,201059,250240,1.004386861350256,1.0208636564673716,200599,201479,248710,253899,1,1,0,0,1790263704.12162,e2/b16-e100/block-01/gpu-rows/summary.txt
e2,16,100,0.001,2,cpu,3,277970,380020,1.0168883542460025,1.0365423339028172,275989,280650,366999,380410,1,1,0,0,1790263840.6852298,e2/b16-e100/block-02/cpu/summary.txt
e2,16,100,0.001,2,gpu-mask,3,1193639,1266549,1.0722082185258426,1.1611346868484718,1192939,1279079,1232199,1430749,1,1,0,0,1790263873.1480317,e2/b16-e100/block-02/gpu-mask/summary.txt
e2,16,100,0.001,2,gpu-predicate,3,1208459,1368709,1.0109941185194145,1.0629871512360316,1207009,1220279,1301059,1383009,1,1,0,0,1790263805.643176,e2/b16-e100/block-02/gpu-predicate/summary.txt
e2,16,100,0.001,2,gpu-rows,3,195980,234249,1.0186184220618841,1.0116916064671482,195559,199200,232560,235279,1,1,0,0,1790263772.5708816,e2/b16-e100/block-02/gpu-rows/summary.txt
e2,16,100,0.001,3,cpu,3,278010,362590,1.0649992781868052,1.0823905839332648,277080,295090,350040,378880,1,1,0,0,1790263976.1806898,e2/b16-e100/block-03/cpu/summary.txt
e2,16,100,0.001,3,gpu-mask,3,1223289,1403279,1.0902510517995254,1.0163194611914286,1210069,1319279,1389139,1411809,1,1,0,0,1790264008.585827,e2/b16-e100/block-03/gpu-mask/summary.txt
e2,16,100,0.001,3,gpu-predicate,3,1204799,1230859,1.006405776360936,1.0421856542760026,1200479,1208169,1230039,1281929,1,1,0,0,1790263941.2801995,e2/b16-e100/block-03/gpu-predicate/summary.txt
e2,16,100,0.001,3,gpu-rows,3,201420,246930,1.079445773524721,1.1364232421433416,200640,216580,221150,251320,1,1,0,0,1790263908.167423,e2/b16-e100/block-03/gpu-rows/summary.txt
e2,16,100,0.001,4,cpu,3,275470,373590,1.009801063907309,1.070261890260783,274460,277150,361220,386600,1,1,0,0,1790264114.3256552,e2/b16-e100/block-04/cpu/summary.txt
e2,16,100,0.001,4,gpu-mask,3,1279639,1431319,1.023303575037908,1.010100946065597,1261609,1291009,1419669,1434009,1,1,0,0,1790264043.632335,e2/b16-e100/block-04/gpu-mask/summary.txt
e2,16,100,0.001,4,gpu-predicate,3,1366519,1397369,1.1256872671400104,1.0085215534433878,1220959,1374418,1396459,1408359,1,1,0,0,1790264078.8758464,e2/b16-e100/block-04/gpu-predicate/summary.txt
e2,16,100,0.001,4,gpu-rows,3,198280,206920,1.0195241031704372,1.0159901956510156,196219,200050,206439,209740,1,1,0,0,1790264146.760856,e2/b16-e100/block-04/gpu-rows/summary.txt
