batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
1,1000,0.01,p50_ns,gpu-predicate,cpu,5,2.250504507435524,2.2086675868527332,2.2695751942293603,9.492523677283378,9.10357858075751,9.675289821999089,0.6607423283170152,False,True
1,1000,0.01,p95_ns,gpu-predicate,cpu,5,2.184950189115671,1.9329859690002527,2.2657816390833254,8.890205713333886,6.910112849656342,9.638655607395886,0.6881421068218078,False,True
1,1000,0.01,p50_ns,gpu-mask,cpu,5,2.2531406609796076,2.2188021239690316,2.27493850967571,9.51758043944314,9.196308228123637,9.727320858055682,0.6607423283170152,False,True
1,1000,0.01,p95_ns,gpu-mask,cpu,5,2.2098372975030345,1.9664612524832918,2.3617046031902205,9.114233363871074,7.14534612005309,10.609020217729393,0.6881421068218078,False,True
1,3000,0.03,p50_ns,gpu-rows,gpu-predicate,5,-0.9272470810576375,-0.9992573978457031,-0.4416526003530765,0.39564138120256426,0.3681527306971141,0.6429729652420471,0.6607423283170152,False,False
1,3000,0.03,p95_ns,gpu-rows,gpu-predicate,5,-0.8677252935688017,-0.9993765957007716,-0.4571001725350215,0.4199056257416525,0.3681088502965541,0.6331169159596995,0.6881421068218078,False,False
1,3000,0.03,p50_ns,gpu-rows,gpu-mask,5,-0.8966692192610033,-1.0159564738170046,-0.41474534246330913,0.40792611190063643,0.362055967114809,0.6605084627477484,0.6607423283170152,False,False
1,3000,0.03,p95_ns,gpu-rows,gpu-mask,5,-0.8466491471927317,-0.9959467153514484,-0.4703976617878042,0.42884953870902137,0.3693735873170531,0.6247537781740988,0.6881421068218078,False,False
1,3000,0.03,p50_ns,gpu-predicate,gpu-mask,5,-0.01669907597130145,-0.08395145501931554,0.03057786179663415,0.9834395807121664,0.9194758909510828,1.0310501663418834,0.6607423283170152,False,False
1,3000,0.03,p95_ns,gpu-predicate,gpu-mask,5,0.0008932785733629697,-0.05480821539758118,0.03295065972795967,1.0008936776654924,0.9466666866388853,1.0334995448345812,0.6881421068218078,False,False
1,3000,0.03,p50_ns,gpu-rows,cpu,5,0.18950905454797026,0.019587107529606032,0.6953169207153873,1.2086560677742326,1.0197801935252657,2.0043441914899547,0.6607423283170152,False,False
1,3000,0.03,p95_ns,gpu-rows,cpu,5,0.19181730733169822,-0.18190219107113478,0.6949075789897775,1.21144917386455,0.8336828780574317,2.00352389768159,0.6881421068218078,False,False
1,3000,0.03,p50_ns,gpu-predicate,cpu,5,1.1369695210684638,0.9468341885872437,1.230070063151195,3.117307102850615,2.5775367339624897,3.4214692468092864,0.6607423283170152,False,True
1,3000,0.03,p95_ns,gpu-predicate,cpu,5,0.9970205611984356,0.6858231024976669,1.1886573012565096,2.710194927301615,1.9854053552746542,3.2826706092911055,0.6881421068218078,False,False
1,3000,0.03,p50_ns,gpu-mask,cpu,5,1.1874081316212823,0.9162563267906094,1.2584627314440127,3.278572556957687,2.499913988770756,3.5200061312610442,0.6607423283170152,False,True
1,3000,0.03,p95_ns,gpu-mask,cpu,5,1.0518287765960168,0.6647469561215968,1.1877640226831465,2.8628819050600476,1.943998542162578,3.279739579280471,0.6881421068218078,False,False
