engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cuda,0,0,13,1,259446,222975,10,1.0,1.0
torch-cuda,0,1,11,1,275846,236543,10,1.0,1.0
torch-cuda,0,2,19,1,284082,244095,10,1.0,1.0
torch-cuda,0,3,46,1,272419,232511,10,1.0,1.0
torch-cuda,0,4,37,1,274935,235615,10,1.0,1.0
torch-cuda,0,5,27,1,280194,241375,10,1.0,1.0
torch-cuda,0,6,7,1,277359,238432,10,1.0,1.0
torch-cuda,0,7,15,1,267831,230304,10,1.0,1.0
torch-cuda,0,8,41,1,276297,236831,10,1.0,1.0
torch-cuda,0,9,50,1,277369,234559,10,1.0,1.0
torch-cuda,0,10,24,1,269975,231775,10,1.0,1.0
torch-cuda,0,11,8,1,274614,236000,10,1.0,1.0
torch-cuda,0,12,17,1,276487,237663,10,1.0,1.0
torch-cuda,0,13,23,1,270877,231968,10,1.0,1.0
torch-cuda,0,14,60,1,277209,238271,10,1.0,1.0
torch-cuda,0,15,49,1,269945,232224,10,1.0,1.0
torch-cuda,0,16,22,1,272069,232927,10,1.0,1.0
torch-cuda,0,17,25,1,276788,238304,10,1.0,1.0
torch-cuda,0,18,3,1,269113,230463,10,1.0,1.0
torch-cuda,0,19,16,1,270606,232639,10,1.0,1.0
torch-cuda,0,20,34,1,277409,238335,10,1.0,1.0
torch-cuda,0,21,31,1,273592,234975,10,1.0,1.0
torch-cuda,0,22,9,1,268242,230207,10,1.0,1.0
torch-cuda,0,23,12,1,277669,239743,10,1.0,1.0
torch-cuda,0,24,14,1,272169,233600,10,1.0,1.0
torch-cuda,0,25,2,1,271197,231135,10,1.0,1.0
torch-cuda,0,26,29,1,275055,236095,10,1.0,1.0
torch-cuda,0,27,30,1,269194,231360,10,1.0,1.0
torch-cuda,0,28,33,1,270696,231808,10,1.0,1.0
torch-cuda,0,29,53,1,277239,238112,10,1.0,1.0
torch-cuda,0,30,44,1,273762,234720,10,1.0,1.0
torch-cuda,0,31,35,1,266087,228128,10,1.0,1.0
torch-cuda,0,32,43,1,273151,234847,10,1.0,1.0
torch-cuda,0,33,55,1,271888,232544,10,1.0,1.0
torch-cuda,0,34,21,1,265436,227295,10,1.0,1.0
torch-cuda,0,35,39,1,285164,246976,10,1.0,1.0
torch-cuda,0,36,1,1,270656,232127,10,1.0,1.0
torch-cuda,0,37,56,1,268573,229919,10,1.0,1.0
torch-cuda,0,38,32,1,275535,236576,10,1.0,1.0
torch-cuda,0,39,45,1,268503,230527,10,1.0,1.0
torch-cuda,0,40,54,1,272981,234144,10,1.0,1.0
torch-cuda,0,41,18,1,276016,236192,10,1.0,1.0
torch-cuda,0,42,10,1,274473,235103,10,1.0,1.0
torch-cuda,0,43,51,1,269404,231327,10,1.0,1.0
torch-cuda,0,44,0,1,279873,240703,10,1.0,1.0
torch-cuda,0,45,47,1,270586,231935,10,1.0,1.0
torch-cuda,0,46,5,1,269414,230207,10,1.0,1.0
torch-cuda,0,47,63,1,275705,237184,10,1.0,1.0
torch-cuda,0,48,38,1,268623,230816,10,1.0,1.0
torch-cuda,0,49,48,1,270315,231552,10,1.0,1.0
torch-cuda,0,50,52,1,277038,238079,10,1.0,1.0
torch-cuda,0,51,20,1,269093,230816,10,1.0,1.0
torch-cuda,0,52,58,1,271207,231519,10,1.0,1.0
torch-cuda,0,53,61,1,277068,238304,10,1.0,1.0
torch-cuda,0,54,6,1,270035,231391,10,1.0,1.0
torch-cuda,0,55,59,1,272359,233855,10,1.0,1.0
torch-cuda,0,56,57,1,279273,240191,10,1.0,1.0
torch-cuda,0,57,62,1,270526,231775,10,1.0,1.0
torch-cuda,0,58,40,1,281076,231391,10,1.0,1.0
torch-cuda,0,59,28,1,275245,236192,10,1.0,1.0
torch-cuda,0,60,42,1,270656,231935,10,1.0,1.0
torch-cuda,0,61,26,1,276067,237440,10,1.0,1.0
torch-cuda,0,62,36,1,278802,235648,10,1.0,1.0
torch-cuda,0,63,4,1,268723,230048,10,1.0,1.0
torch-cuda,1,0,16,1,271037,231360,10,1.0,1.0
torch-cuda,1,1,14,1,277358,238655,10,1.0,1.0
torch-cuda,1,2,4,1,267390,229376,10,1.0,1.0
