engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
torch-cuda,0,64,64,272419,280194,285164,21324866,3001.1911915413675,10,1.0,1.0
torch-cuda,1,64,64,270175,282198,291074,21162772,3024.1784960873747,10,1.0,1.0
torch-cuda,2,64,64,272509,282228,294501,21205041,3018.150259648166,10,1.0,1.0
