run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,64,64,162215,194986,207147,11538974,5546.42033165167,10,1,1,true
1,64,64,161965,167856,173586,11271676,5677.948869360688,10,1,1,true
2,64,64,162555,205486,1236349,12933708,4948.310260290397,10,1,1,true
