run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,5000,5000,635800,976500,1205900,3409860700,1466.3355602766999,1,true
1,5000,5000,632600,956300,1075800,3389213200,1475.2686552737373,1,true
2,5000,5000,638700,978000,1116600,3420989400,1461.5654757655782,1,true
3,5000,5000,615200,944600,1060200,3316553600,1507.5890828358692,1,true
4,5000,5000,631900,953900,1075900,3376372500,1480.8792572501998,1,true
