run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,1,64,3001905,3001905,3001905,10691353,5986.146000417346,64,1,,true
1,1,64,2910538,2910538,2910538,11006906,5814.531349681736,64,1,,true
2,1,64,3101063,3101063,3101063,10938143,5851.084594523951,64,1,,true
