run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,5000,5000,1884300,2586300,2964400,9972994100,501.35395146779445,1,true
1,5000,5000,2015800,2732700,3129300,10435415800,479.13759219829075,1,true
2,5000,5000,1929700,2604100,2911000,10097989000,495.1480933480914,1,true
3,5000,5000,1929900,2637100,2959400,10152826300,492.4737065579464,1,true
4,5000,5000,1875000,2582000,2926800,9910088300,504.536372294483,1,true
