engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
torch-cuda,0,8,64,369885,10209068,10209068,21182444,3021.3699608978077,64,1.0,
torch-cuda,1,8,64,368433,384076,384076,9469018,6758.884606619187,64,1.0,
torch-cuda,2,8,64,370516,380301,380301,8703510,7353.355140627173,64,1.0,
