engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
faiss-flat,0,313,5000,237476,283095,338988,215846925,23164.564424533728,10,1.0,1.0
faiss-flat,1,313,5000,216385,237116,247171,191376817,26126.466509263762,10,1.0,1.0
faiss-flat,2,313,5000,225107,242735,248273,192484078,25976.17450727535,10,1.0,1.0
