engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
torch-cpu,0,64,64,18324106,18694852,19713581,1180079286,54.233644094317235,1,1.0,
torch-cpu,1,64,64,18249674,18541532,19065718,1175255599,54.456239182741385,1,1.0,
torch-cpu,2,64,64,18499709,18942904,19726700,1194879234,53.56189828971452,1,1.0,
