run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,143415,152334,165075,10188211,6281.770175352669,1,true
1,64,64,142865,151364,158995,10097459,6338.228261189276,1,true
2,64,64,142364,151475,1244569,11130121,5750.16210515591,1,true
