run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,8,64,110636,144297,144297,1708794,37453.315028025616,1,true
1,8,64,109224,117426,117426,1604768,39881.15416060141,1,true
2,8,64,108523,114973,114973,1606381,39841.10867845175,1,true
