block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
1,gpu-predicate,100,1,2.25,2.6981,1.109088,0.119616,0.0,2.231,2655,8201,2655.0,8201.0,664,1.0,1.0,1790344720.6064577
1,gpu-predicate,1000,0,2.1197,2.8736,0.953952,0.126432,0.0,2.09705,2655,8201,2655,8201,619,1.0,1.0,1790346107.1007378
1,gpu-predicate,1000,1,2.2094,2.4718,1.126016,0.126176,0.0,2.17915,2670,8201,2670,8201,667,1.0,1.0,1790345563.5271745
1,gpu-predicate,10000,0,2.2539,2.8222,0.940704,0.195264,0.0,2.1439,2670.0,8201.0,2670.0,8201.0,648,0.6849912739965096,1.0,1790345139.3909514
1,gpu-predicate,10000,1,2.4347,2.9966,1.125472,0.20752,0.0,2.2968,2670,8201,2670.0,8201.0,1252,0.6600476568705321,1.0,1790346553.5044937
1,gpu-predicate,3000,0,2.1981,2.7225,0.952416,0.14016,0.0,2.12305,2670.0,7001.0,2670,7001,613,0.9405940594059405,1.0,1790346635.329998
1,gpu-predicate,3000,1,2.3227,2.7347,1.13008,0.140256,0.0,2.2689,2670.0,7001.0,2670,7001,839,0.9148936170212766,1.0,1790346704.3750126
1,gpu-predicate,30000,0,2.8319,3.4286,0.991424,0.449248,0.0,2.4687,225,405,2670,8201,801,0.46220797068254693,1.0,1790345808.6655703
1,gpu-predicate,30000,1,3.1522,3.7725,0.995488,0.45824,0.0,2.7103,210.0,405.0,210,405,2421,0.44481054365733114,1.0,1790345953.4500864
1,gpu-rows,100,0,0.3295,0.5749,0.018624,0.005312,0.0066,0.3197,2130,8201,2130,8201,121,1.0,1.0,1790344765.9299612
1,gpu-rows,100,1,0.2574,0.3916,0.016896,0.00496,0.0046,0.257,2130.0,8201.0,2130,8201,133,1.0,1.0,1790346281.8886747
1,gpu-rows,1000,0,0.2304,0.3463,0.029568,0.008352,0.0207,0.2035,2130,8201,2130.0,8201.0,86,1.0,1.0,1790346343.1852677
1,gpu-rows,1000,1,0.3771,0.529,0.029632,0.008352,0.0341,0.3267,2130,8201,2130,8201,183,1.0,1.0,1790346296.0308332
1,gpu-rows,10000,0,1.6448,2.1638,0.444928,0.145696,0.55415,1.0863,585,810,600,810,461,0.20704375667022412,1.0,1790345033.3806543
1,gpu-rows,10000,1,1.5092,2.4104,0.200192,0.060448,0.62865,0.8461,1365,7001,1365.0,7001.0,1048,0.5649289099526066,1.0,1790346359.8195753
1,gpu-rows,3000,0,0.3874,0.6855,0.055232,0.014912,0.0708,0.3233,2130,8200,2130,8201,121,0.9510204081632653,1.0,1790345117.4414692
1,gpu-rows,3000,1,0.6047,1.3164,0.069184,0.018336,0.1223,0.4861,1740.0,8201.0,1740,8201,357,1.0,1.0,1790344692.441381
1,gpu-rows,30000,0,2.822,3.2148,0.721504,0.303456,0.9539,1.79825,1005.0,6001.0,1080.0,8201.0,754,0.3805970149253731,1.0,1790346156.0288856
1,gpu-rows,30000,1,2.8447,4.3192,0.4888,0.274368,1.0875,1.67065,210.0,405.0,210,405,2291,0.4329852045256745,1.0,1790345655.0698292
2,cpu,100,0,0.0093,0.0124,0.0,0.0,0.0,0.0079,2130,7001,0,0,0,1.0,1.0,1790347536.6544719
2,cpu,100,1,0.0094,0.0113,0.0,0.0,0.0,0.008,2130.0,8201.0,2130,8201,53,1.0,1.0,1790347600.4130034
2,cpu,1000,0,0.0792,0.1313,0.0,0.0,0.0,0.0776,2130,7001,0,0,0,1.0,1.0,1790347828.1409678
2,cpu,1000,1,0.0785,0.1122,0.0,0.0,0.0,0.0759,2130,8201,2130,8201,103,1.0,1.0,1790347588.4437814
2,cpu,10000,0,2.439,2.9308,0.0,0.0,0.0,2.40665,2130,7001,0,0,0,1.0,1.0,1790347467.7632499
2,cpu,10000,1,2.6215,3.5251,0.0,0.0,0.0,2.61235,210.0,405.0,210,405,1135,0.15236427320490367,1.0,1790348336.2223632
2,cpu,3000,0,0.2963,0.8358,0.0,0.0,0.0,0.3019,2130.0,7001.0,0,0,0,0.9910714285714286,1.0,1790348314.6272774
2,cpu,3000,1,0.7646,1.2883,0.0,0.0,0.0,0.7778,240.0,405.0,210,405,437,0.39414414414414417,1.0,1790347100.245342
2,cpu,30000,0,6.1218,7.2692,0.0,0.0,0.0,6.1818,2130,7001,0,0,0,0.9954397394136808,1.0,1790348064.1839166
2,cpu,30000,1,10.0773,13.6514,0.0,0.0,0.0,10.04005,210.0,405.0,210.0,405.0,4192,0.0419047619047619,1.0,1790346762.69151
2,gpu-predicate,100,0,1.9992,2.3993,0.9272,0.119648,0.0,2.0013,2670,8201,2670,8201,553,1.0,1.0,1790347939.4047527
2,gpu-predicate,100,1,2.0367,2.2468,0.929248,0.11968,0.0,2.0269,2670.0,8201.0,2670,8201,591,1.0,1.0,1790347252.8919404
2,gpu-predicate,1000,0,1.9607,2.1093,0.949056,0.12624,0.0,1.9465,2670.0,8201.0,2670,8201,529,1.0,1.0,1790347208.6041703
2,gpu-predicate,1000,1,2.1129,2.309,1.124448,0.126336,0.0,2.0851,2670,8201,2670,8201,651,1.0,1.0,1790347410.076487
2,gpu-predicate,10000,0,2.0664,2.3129,0.940512,0.1952,0.0,2.027,2670,7001,2670,8201,583,0.6382222222222222,1.0,1790347131.531074
2,gpu-predicate,10000,1,2.4096,3.0121,1.122848,0.207552,0.0,2.2722,2670.0,8201.0,2670.0,8201.0,1160,0.690068493150685,1.0,1790347751.7854638
2,gpu-predicate,3000,0,2.0882,2.522,0.951008,0.140256,0.0,2.048,2670,7001,2670.0,7001.0,576,0.9782312925170068,1.0,1790347982.4811957
2,gpu-predicate,3000,1,2.252,2.5584,1.12864,0.140352,0.0,2.2019,2670.0,7001.0,2670,7001,751,0.9683377308707124,1.0,1790348263.674628
2,gpu-predicate,30000,0,2.6254,2.9653,0.992096,0.449216,0.0,2.3677,2130,7001,2670,8201,713,0.5776918117343649,1.0,1790347305.0862072
2,gpu-predicate,30000,1,2.7924,3.169,0.995904,0.457824,0.0,2.5837,210.0,405.0,210,405,2191,0.4353958143767061,1.0,1790347609.8000019
2,gpu-rows,100,0,0.1528,0.2136,0.015488,0.004896,0.0024,0.1642,2130,8201,2670.0,8201.0,56,1.0,1.0,1790347293.807372
2,gpu-rows,100,1,0.1702,0.297,0.015744,0.0048,0.0027,0.1738,2250,8201,2250.0,8201.0,114,1.0,1.0,1790347456.5618248
2,gpu-rows,1000,0,0.2188,0.2923,0.029568,0.008352,0.0186,0.1986,2130.0,8201.0,2130.0,8201.0,72,1.0,1.0,1790347544.2959652
2,gpu-rows,1000,1,0.2401,0.4606,0.029504,0.008256,0.0221,0.2165,2130.0,8201.0,2130,8201,159,1.0,1.0,1790348412.8100343
2,gpu-rows,10000,0,1.5362,1.9076,0.425312,0.141088,0.5155,1.0339,645,810,630,810,425,0.2549800796812749,1.0,1790348526.5084171
2,gpu-rows,10000,1,1.6852,2.3563,0.228448,0.068448,0.7179,0.9149,1230,8201,1230.0,8201.0,1054,0.590009425070688,1.0,1790347028.6435037
2,gpu-rows,3000,0,0.6418,1.0016,0.144544,0.036896,0.1004,0.5329,2130,7001,750,810,193,0.6239067055393586,1.0,1790347557.676416
2,gpu-rows,3000,1,0.5587,0.8563,0.06992,0.01856,0.0973,0.4347,1710.0,8201.0,1710,8201,369,0.8696808510638298,1.0,1790348037.163275
2,gpu-rows,30000,0,2.1013,2.56,0.519168,0.268256,0.731,1.4282,1005,6001,1500,8201,657,0.4624085163007319,1.0,1790347838.7401645
2,gpu-rows,30000,1,2.0377,2.4308,0.327024,0.267456,0.69815,1.3174,915.0,6001.0,915,6001,1505,0.49272486772486773,1.0,1790348428.8043292
3,cpu,100,0,0.0097,0.0122,0.0,0.0,0.0,0.008,2047.5,7001.0,0,0,0,1.0,1.0,1790349801.8450062
3,cpu,100,1,0.0095,0.0114,0.0,0.0,0.0,0.008,2130,8201,2130,8201,53,1.0,1.0,1790349367.4966927
3,cpu,1000,0,0.076,0.1242,0.0,0.0,0.0,0.074,2130.0,7001.0,0,0,0,1.0,1.0,1790349779.4378436
3,cpu,1000,1,0.0787,0.1229,0.0,0.0,0.0,0.0762,2130,8201,2130.0,8201.0,96,1.0,1.0,1790348990.9313045
3,cpu,10000,0,2.5877,3.6078,0.0,0.0,0.0,2.59705,2130.0,7001.0,0,0,0,1.0,1.0,1790348802.7796206
3,cpu,10000,1,2.7467,3.6667,0.0,0.0,0.0,2.74635,210,405,210.0,405.0,1166,0.14919011082693948,1.0,1790350108.0525484
3,cpu,3000,0,0.308,0.683,0.0,0.0,0.0,0.3137,2130.0,7001.0,0,0,0,1.0,1.0,1790349346.0916982
3,cpu,3000,1,0.3181,0.7682,0.0,0.0,0.0,0.31735,2130.0,8201.0,2130,8201,251,0.6782945736434108,1.0,1790349326.3392756
3,cpu,30000,0,9.1874,10.6016,0.0,0.0,0.0,9.13765,2130.0,7001.0,0,0,0,0.9869138495092693,1.0,1790349374.8625357
3,cpu,30000,1,6.1192,6.935,0.0,0.0,0.0,6.1073,210,405,210.0,405.0,2536,0.0684231222965002,1.0,1790349162.8902352
3,gpu-predicate,100,0,1.9721,2.1703,0.927264,0.119616,0.0,1.9747,2670.0,8201.0,2670.0,8201.0,536,1.0,1.0,1790348876.879478
3,gpu-predicate,100,1,2.1368,2.3804,1.10432,0.11968,0.0,2.1331,2670.0,8201.0,2670,8201,623,1.0,1.0,1790349616.2452586
3,gpu-predicate,1000,0,1.9781,2.1745,0.949888,0.1264,0.0,1.9665,2670.0,8201.0,2670.0,8201.0,538,1.0,1.0,1790348580.2259924
3,gpu-predicate,1000,1,2.1626,2.4105,1.125376,0.126432,0.0,2.1456,2670,8201,2670.0,8201.0,648,1.0,1.0,1790350061.5923364
3,gpu-predicate,10000,0,2.1749,2.4271,0.940768,0.19504,0.0,2.0491,2670.0,8201.0,2670,8201,599,0.8,1.0,1790348623.061123
3,gpu-predicate,10000,1,2.3766,2.6905,1.122624,0.207744,0.0,2.2365,2670,8201,2670.0,8201.0,1020,0.7575462512171373,1.0,1790348921.2208226
3,gpu-predicate,3000,0,2.1087,2.4349,0.952096,0.140192,0.0,2.0628,2670,8201,2670,8201,571,1.0,1.0,1790349988.345478
3,gpu-predicate,3000,1,2.2572,2.561,1.128704,0.140384,0.0,2.20695,2670,8201,2670.0,8201.0,760,0.9582790091264668,1.0,1790349825.578347
3,gpu-predicate,30000,0,2.7908,3.3291,0.992352,0.449408,0.0,2.434,2130,7001,2670,8201,775,0.5711733174508636,1.0,1790349877.0555024
3,gpu-predicate,30000,1,3.0282,3.4936,0.995648,0.458528,0.0,2.6453,2130.0,8201.0,2130,8201,1837,0.5536876355748374,1.0,1790349661.1225963
3,gpu-rows,100,0,0.1706,0.2981,0.015648,0.00496,0.0026,0.1715,2130,8201,2400.0,8201.0,64,1.0,1.0,1790349790.005699
3,gpu-rows,100,1,0.3074,0.4619,0.017568,0.004992,0.0051,0.2779,2130.0,8201.0,2130,8201,141,1.0,1.0,1790350186.4213629
3,gpu-rows,1000,0,0.2322,0.4329,0.029584,0.008384,0.01975,0.2077,2130.0,8201.0,2130.0,8201.0,88,1.0,1.0,1790349809.4388602
3,gpu-rows,1000,1,0.2432,0.4345,0.029056,0.008128,0.0208,0.2122,2145.0,8201.0,2145,8201,153,1.0,1.0,1790348689.2486768
3,gpu-rows,10000,0,1.6818,2.3474,0.460736,0.14992,0.5439,1.114,585.0,810.0,585.0,810.0,466,0.23414634146341465,1.0,1790349103.061966
3,gpu-rows,10000,1,1.6237,2.2091,0.213248,0.064512,0.74455,0.93445,1200.0,8201.0,1200,8201,835,0.7030878859857482,1.0,1790350201.2047548
3,gpu-rows,3000,0,0.4143,0.7333,0.055232,0.014944,0.0673,0.3201,2130,8200,2130.0,8201.0,120,0.9876543209876543,1.0,1790350037.7599263
3,gpu-rows,3000,1,0.578,0.8596,0.067744,0.017888,0.1112,0.4523,2130.0,8201.0,2130,8201,317,1.0,1.0,1790350259.2132964
3,gpu-rows,30000,0,2.2649,2.7999,0.592384,0.277504,0.7435,1.4988,1282.5,7001.0,1335,8201,619,0.5377867746288799,1.0,1790348702.8473806
3,gpu-rows,30000,1,2.0965,2.7739,0.339264,0.268,0.7199,1.3412,1275,7001,1275.0,7001.0,1544,0.504835589941973,1.0,1790349003.0013235
4,cpu,100,0,0.0095,0.0107,0.0,0.0,0.0,0.008,2070,7001,0,0,0,1.0,1.0,1790351135.807675
4,cpu,100,1,0.0099,0.0126,0.0,0.0,0.0,0.0082,2130.0,8201.0,2130.0,8201.0,54,1.0,1.0,1790351669.8037772
4,cpu,1000,0,0.0827,0.159,0.0,0.0,0.0,0.10075,2130.0,7001.0,0,0,0,1.0,1.0,1790351125.3487513
4,cpu,1000,1,0.1536,0.1805,0.0,0.0,0.0,0.1472,2130,8201,2130,8201,107,1.0,1.0,1790352357.703991
4,cpu,10000,0,4.1609,5.2886,0.0,0.0,0.0,4.13365,2130,7001,0,0,0,0.9866342648845686,1.0,1790351773.2847843
4,cpu,10000,1,4.3553,5.8716,0.0,0.0,0.0,4.4061,210,405,210.0,405.0,1850,0.09477652127086698,1.0,1790350385.8716707
4,cpu,3000,0,0.7613,1.3598,0.0,0.0,0.0,0.7744,2130,7001,0,0,0,0.9948186528497409,1.0,1790351638.0306618
4,cpu,3000,1,0.3312,0.6344,0.0,0.0,0.0,0.3316,2130.0,8201.0,2130,8201,241,0.7056451612903226,1.0,1790350284.9729795
4,cpu,30000,0,9.8069,12.995,0.0,0.0,0.0,9.7031,2130,7001,0,0,0,0.993483709273183,1.0,1790351309.2637842
4,cpu,30000,1,9.5554,12.896,0.0,0.0,0.0,9.5568,210,405,210,405,3993,0.26343414146463384,1.0,1790350728.01011
4,gpu-predicate,100,0,2.0132,2.3568,0.927264,0.119648,0.0,2.00175,2670,8201,2670,8201,553,1.0,1.0,1790351882.6762645
4,gpu-predicate,100,1,2.1898,2.766,1.104608,0.119648,0.0,2.1943,2670.0,8201.0,2670,8201,681,1.0,1.0,1790352004.0400214
4,gpu-predicate,1000,0,2.0495,2.3795,0.949344,0.126336,0.0,2.0274,2670,8201,2670,8201,569,1.0,1.0,1790352050.5030332
4,gpu-predicate,1000,1,2.1784,2.4422,1.126144,0.126496,0.0,2.1592,2670.0,8201.0,2670,8201,669,1.0,1.0,1790352309.9997122
