comparison,engine,E,metric,n,ratio,lo,hi,per_block
heater_on/off,gpu-predicate,1000,score,5,1.0007604562737644,0.9979751961528729,1.0015209125475284,"[1.002, 0.998, 1.001, 1.0, 1.001]"
heater_on/off,gpu-predicate,3000,p50,5,1.0704225352112677,1.0192211112632972,1.0897442096610415,"[1.019, 1.057, 1.078, 1.07, 1.09]"
heater_on/off,gpu-predicate,3000,p95,5,1.0144329896907216,0.9925892748076061,1.131079552595199,"[0.993, 1.004, 1.014, 1.052, 1.131]"
heater_on/off,gpu-predicate,3000,sel,5,1.1863193277310924,1.1805708931499515,1.1867828661798852,"[1.181, 1.187, 1.187, 1.185, 1.186]"
heater_on/off,gpu-predicate,3000,score,5,1.0006849315068491,0.9995443153337892,1.0015978087194704,"[1.0, 1.001, 1.001, 1.001, 1.002]"
heater_on/off,gpu-predicate,10000,p50,5,1.0802165135986512,1.0591777596667573,1.1660859465737516,"[1.077, 1.08, 1.166, 1.093, 1.059]"
heater_on/off,gpu-predicate,10000,p95,5,1.0617957621713556,1.038052312693956,1.3023044662544858,"[1.06, 1.062, 1.302, 1.109, 1.038]"
heater_on/off,gpu-predicate,10000,sel,5,1.1938688714232248,1.1918195120291286,1.196414600129265,"[1.196, 1.196, 1.194, 1.193, 1.192]"
heater_on/off,gpu-predicate,10000,score,5,1.0639239468939519,1.0627663061291381,1.0651353568498771,"[1.064, 1.063, 1.063, 1.065, 1.064]"
heater_on/off,gpu-predicate,30000,p50,5,1.0728736856116066,1.017929292929293,1.1131042762809422,"[1.073, 1.113, 1.064, 1.085, 1.018]"
heater_on/off,gpu-predicate,30000,p95,5,1.0686945671601524,0.8778327759197324,1.1003033308055767,"[1.089, 1.1, 1.069, 1.049, 0.878]"
heater_on/off,gpu-predicate,30000,sel,5,1.0033214020831318,1.0023561307813962,1.0040991543476858,"[1.003, 1.004, 1.004, 1.003, 1.002]"
heater_on/off,gpu-predicate,30000,score,5,1.019941599601168,1.0191622738281807,1.0202933637140417,"[1.02, 1.02, 1.019, 1.02, 1.02]"
rows/cpu heater=0,gpu-rows,100,p50,5,17.58762886597938,16.43010752688172,32.68421052631578,"[17.354, 29.955, 16.43, 17.588, 32.684]"
rows/predicate heater=0,gpu-rows,100,p50,5,0.08650676943359872,0.07643057222889153,0.1626678515007899,"[0.086, 0.163, 0.076, 0.087, 0.154]"
rows/cpu heater=0,gpu-rows,100,p95,5,24.434426229508198,17.225806451612907,44.439252336448604,"[22.077, 27.376, 17.226, 24.434, 44.439]"
rows/predicate heater=0,gpu-rows,100,p95,5,0.13735428281804357,0.0890259659067228,0.2336327061405291,"[0.118, 0.234, 0.089, 0.137, 0.202]"
rows/cpu heater=1,gpu-rows,100,p50,5,25.575757575757574,18.106382978723406,32.357894736842105,"[25.776, 22.579, 18.106, 32.358, 25.576]"
rows/predicate heater=1,gpu-rows,100,p50,5,0.1144,0.08356655373889134,0.14385997753650318,"[0.113, 0.114, 0.084, 0.144, 0.116]"
rows/cpu heater=1,gpu-rows,100,p95,5,27.01428571428571,18.917874396135264,40.517543859649116,"[27.014, 18.918, 26.283, 40.518, 31.96]"
rows/predicate heater=1,gpu-rows,100,p95,5,0.14558929862617498,0.1321880007121239,0.1940430179801714,"[0.149, 0.145, 0.132, 0.194, 0.146]"
rows/cpu heater=0,gpu-rows,1000,p50,5,2.7626262626262625,1.4490566037735848,3.0552631578947373,"[2.321, 1.449, 2.763, 3.055, 2.782]"
rows/predicate heater=0,gpu-rows,1000,p50,5,0.112271285679434,0.10869462659810349,0.16442710590955065,"[0.164, 0.109, 0.112, 0.117, 0.112]"
rows/cpu heater=0,gpu-rows,1000,p95,5,2.6232704402515723,0.6891542288557214,3.4855072463768115,"[2.748, 0.689, 2.226, 3.486, 2.623]"
rows/predicate heater=0,gpu-rows,1000,p95,5,0.17528892624500944,0.12051085746102451,0.20588582909821534,"[0.206, 0.121, 0.139, 0.199, 0.175]"
rows/cpu heater=1,gpu-rows,1000,p50,5,3.0585987261146497,2.3867088607594935,4.892993630573249,"[4.893, 2.387, 3.059, 3.09, 2.437]"
rows/predicate heater=1,gpu-rows,1000,p50,5,0.17067982257626504,0.11245722741144917,0.17687419414256766,"[0.177, 0.171, 0.114, 0.112, 0.172]"
rows/cpu heater=1,gpu-rows,1000,p95,5,3.5353946297803094,2.1742704480065767,4.192555476020043,"[4.193, 2.174, 4.105, 3.535, 2.972]"
rows/predicate heater=1,gpu-rows,1000,p95,5,0.21401407880896517,0.1802530595312176,0.24811488604592058,"[0.248, 0.214, 0.199, 0.18, 0.22]"
rows/cpu heater=0,gpu-rows,3000,p50,5,1.2768622280817403,0.719690003940628,2.166047924400945,"[1.269, 1.277, 2.166, 1.345, 0.72]"
rows/predicate heater=0,gpu-rows,3000,p50,5,0.26492916203278377,0.1762431190573677,0.3844678811121764,"[0.384, 0.176, 0.307, 0.196, 0.265]"
rows/cpu heater=0,gpu-rows,3000,p95,5,1.073645680819912,0.47690836887777616,1.624580577125875,"[1.625, 0.973, 1.198, 1.074, 0.477]"
rows/predicate heater=0,gpu-rows,3000,p95,5,0.3011622653907758,0.25179063360881543,0.6900118082983835,"[0.69, 0.252, 0.397, 0.301, 0.272]"
rows/cpu heater=1,gpu-rows,3000,p50,5,0.8622665534804753,0.7307088673816374,1.817038667085822,"[0.862, 0.819, 0.731, 1.817, 1.58]"
rows/predicate heater=1,gpu-rows,3000,p50,5,0.24809058614564836,0.1820014334348683,0.26034356567787487,"[0.182, 0.26, 0.248, 0.256, 0.232]"
rows/cpu heater=1,gpu-rows,3000,p95,5,1.1189794324394688,0.4297542043984476,1.2196794218474938,"[0.43, 1.22, 0.665, 1.119, 1.169]"
rows/predicate heater=1,gpu-rows,3000,p95,5,0.33470137585991244,0.2725519957336834,0.48136907156178005,"[0.273, 0.481, 0.335, 0.336, 0.275]"
rows/cpu heater=0,gpu-rows,10000,p50,5,0.6040697499924969,0.3858134734471758,0.6499207790702168,"[0.604, 0.386, 0.63, 0.65, 0.513]"
rows/predicate heater=0,gpu-rows,10000,p50,5,0.7732769322727482,0.7297573095523316,0.965543783392194,"[0.913, 0.73, 0.743, 0.773, 0.966]"
rows/cpu heater=0,gpu-rows,10000,p95,5,0.5473463257514068,0.3972170209641297,0.6508803057185751,"[0.547, 0.397, 0.651, 0.651, 0.544]"
