run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,64,64,87233,93434,107150,6446287,9928.195874617435,10,1,1,true
1,64,64,85921,90419,93274,6293952,10168.491910964685,10,1,1,true
2,64,64,86021,91050,95900,6305214,10150.329552652773,10,1,1,true
