run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,13375,16160,17904,1200325,53318.892799866706,1,true
1,64,64,13435,14607,17052,1189344,53811.176581375956,1,true
2,64,64,13395,14107,15238,1178865,54289.50728030775,1,true
