run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,63619,69031,107693,5013984,12764.300803512735,1,true
1,64,64,63235,70027,72205,4903490,13051.928320441155,1,true
2,64,64,63651,69164,78927,4917795,13013.962558423033,1,true
