run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,313,5000,277864865,294381648,300941160,86956323778,57.500130902095506,10,0.9999400000000002,0.9999400000000002,true
1,313,5000,277479166,294632365,302401131,86966838696,57.493178721580605,10,0.9999399999999999,0.9999399999999999,true
2,313,5000,278313738,294693576,298886168,86893248965,57.54186958775089,10,0.9999400000000002,0.9999400000000002,true
