run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,1,64,1469665,1469665,1469665,2338769,27364.82311848669,10,1,1,true
1,1,64,1262164,1262164,1262164,1979901,32324.848565660606,10,1,1,true
2,1,64,1258599,1258599,1258599,1977457,32364.799841412478,10,1,1,true
