run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49;22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35;43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63;38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,64,83597931,10,0.3453125,0.3453125,640,25000,0,0,,3010,54830677,,,774492,,21,Usearch,Usearch:64,3200,not-applicable,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34;0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57;8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51;48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,64,83313304,10,0.34531249999999997,0.34531249999999997,640,25000,0,0,,3010,54830677,,,923045,,20,Usearch,Usearch:64,17984,not-applicable,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40;41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63;13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14;9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,64,78405189,10,0.3453125000000001,0.3453125000000001,640,25000,0,0,,3010,54830677,,,832389,,70,Usearch,Usearch:64,14720,not-applicable,,false,,1,,,,,,,,0,
