run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,1,64,83597931,83597931,83597931,84570881,756.7616565328201,10,0.3453125,0.3453125,false
1,1,64,83313304,83313304,83313304,84337541,758.8554188460391,10,0.34531249999999997,0.34531249999999997,false
2,1,64,78405189,78405189,78405189,79407764,805.9665299226912,10,0.3453125000000001,0.3453125000000001,false
