cell,comparison,paired_blocks,dataset_seeds,geomean_p95_ratio,ci95_lo,ci95_hi,ci98_75_lo,ci98_75_hi,worst_block_ratio,best_block_ratio
empty,gpu/cpu,1,1,497.38461538461553,497.38461538461553,497.38461538461553,497.38461538461553,497.38461538461553,497.38461538461536,497.38461538461536
tiny,gpu/cpu,1,1,73.27142857142854,73.27142857142854,73.27142857142854,73.27142857142854,73.27142857142854,73.27142857142857,73.27142857142857
