engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
faiss-flat,0,1,64,21403958,21403958,21403958,23313343,2745.2090418778635,10,1.0,1.0
faiss-flat,1,1,64,25448406,25448406,25448406,27335427,2341.2840779842218,10,1.0,1.0
faiss-flat,2,1,64,25346033,25346033,25346033,27155748,2356.7754421642153,10,1.0,1.0
