run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,64,64,144683,153678,160437,11289168,5669.151172167869,10,1,1,true
1,64,64,142762,150543,234430,11226340,5700.878469741697,10,1,1,true
2,64,64,145503,151370,156007,11348263,5639.62960675127,10,1,1,true
