system,eligible,samples,p50_ms,p95_ms,p99_ms,qps_from_mean
faiss_gpu_flat_ip,1000,500,0.067188,0.085716,0.09522612999999996,14446.14616836053
qenlo_cuda_buffered_prototype,1000,500,0.077524,0.09754090000000001,0.1154729899999999,12303.056667362282
faiss_gpu_flat_ip,10000,500,0.127181,0.13734995000000003,0.15051807,7853.548658160738
qenlo_cuda_buffered_prototype,10000,500,0.143804,0.15572240000000004,0.174115,6910.552407998573
faiss_gpu_flat_ip,100000,500,0.775451,0.788721,0.80007272,1286.0316224681947
qenlo_cuda_buffered_prototype,100000,500,0.555869,0.56727745,0.5762769699999999,1796.7485549434136
faiss_gpu_flat_ip,1000000,500,6.273588500000001,6.3474642,6.43565615,158.6482194430421
qenlo_cuda_buffered_prototype,1000000,500,4.65075,4.66828005,4.73640119,214.40820091265576
