system,samples,p50_ms,p95_ms,p99_ms,recall_at_10,qualified
cuVS brute force (disqualified),5000,0.3615485,0.384636,0.41311390000000026,0.9000000000000001,False
FAISS GPU Flat,5000,0.126051,0.13222150000000002,0.1458255900000001,1.0,True
NumPy CPU exhaustive,5000,0.12174650000000001,0.19731050000000003,0.22831449,1.0,True
research CUDA exhaustive prototype,5000,0.160011,0.17072245000000003,0.18093209000000002,1.0,True
