run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,72215,80020,89828,5456166,11729.848395375067,1,true
1,64,64,71934,77445,88957,5416632,11815.460234330114,1,true
2,64,64,72005,77706,79378,5405250,11840.34040978678,1,true
