host,engine,E,sel_ms,score_ms,p50_ms
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.102592,0.010272,0.44453
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.7112,0.026112,1.159559
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.128704,0.103552,3.880835
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.293552,0.10352,4.255435
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.108224,0.102496,3.636226
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.304816,0.104448,4.248764
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.182768,0.106112,4.333374
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.376384,0.108576,4.350814
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.296128,0.108544,4.494063
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.376704,0.108512,4.346924
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.296032,0.108384,4.428123
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.385792,0.108896,4.354324
RTX 4050 Laptop (Windows),gpu-predicate,100,0.92736,0.119616,2.0301
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.949952,0.12624,2.06675
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.939968,0.195232,2.2243
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.956256,0.140448,2.1916
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.991872,0.449312,2.9926
RTX 4050 Laptop (Windows),gpu-rows,100,0.018048,0.005024,0.17605
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029632,0.008384,0.3485
RTX 4050 Laptop (Windows),gpu-rows,10000,0.52216,0.167488,2.0382
RTX 4050 Laptop (Windows),gpu-rows,3000,0.229568,0.056832,0.8462
RTX 4050 Laptop (Windows),gpu-rows,30000,0.579424,0.275872,2.23505
RTX 4050 Laptop (Windows),gpu-predicate,100,0.92752,0.119456,2.0435
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.953952,0.126432,2.1233
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.940704,0.195264,2.28505
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.952416,0.14016,2.1811
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.991424,0.449248,2.84895
RTX 4050 Laptop (Windows),gpu-rows,100,0.018624,0.005312,0.3331
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029568,0.008352,0.2269
RTX 4050 Laptop (Windows),gpu-rows,10000,0.444928,0.145696,1.6575
RTX 4050 Laptop (Windows),gpu-rows,3000,0.055232,0.014912,0.3974
RTX 4050 Laptop (Windows),gpu-rows,30000,0.721504,0.303456,2.7875
RTX 4050 Laptop (Windows),gpu-predicate,100,0.9272,0.119648,2.0099
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.949056,0.12624,1.9595
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.940512,0.1952,2.10315
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.951008,0.140256,2.0821
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.992096,0.449216,2.6212
RTX 4050 Laptop (Windows),gpu-rows,100,0.015488,0.004896,0.16935
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029568,0.008352,0.2199
RTX 4050 Laptop (Windows),gpu-rows,10000,0.425312,0.141088,1.5534
RTX 4050 Laptop (Windows),gpu-rows,3000,0.144544,0.036896,0.6417
RTX 4050 Laptop (Windows),gpu-rows,30000,0.519168,0.268256,2.1841
RTX 4050 Laptop (Windows),gpu-predicate,100,0.927264,0.119616,1.9839
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.949888,0.1264,1.9839
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.940768,0.19504,2.1739
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.952096,0.140192,2.1133
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.992352,0.449408,2.7966
RTX 4050 Laptop (Windows),gpu-rows,100,0.015648,0.00496,0.1772
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029584,0.008384,0.2306
RTX 4050 Laptop (Windows),gpu-rows,10000,0.460736,0.14992,1.6741
RTX 4050 Laptop (Windows),gpu-rows,3000,0.055232,0.014944,0.3944
RTX 4050 Laptop (Windows),gpu-rows,30000,0.592384,0.277504,2.26675
RTX 4050 Laptop (Windows),gpu-predicate,100,0.927264,0.119648,2.0112
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.949344,0.126336,2.04745
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.940384,0.195168,2.2049
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.952,0.140192,2.0734
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.991456,0.44912,2.6887
RTX 4050 Laptop (Windows),gpu-rows,100,0.018432,0.005152,0.2752
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029504,0.008416,0.2274
RTX 4050 Laptop (Windows),gpu-rows,10000,0.594976,0.188192,2.152
RTX 4050 Laptop (Windows),gpu-rows,3000,0.10592,0.027264,0.5427
RTX 4050 Laptop (Windows),gpu-rows,30000,0.722592,0.303648,2.7403
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,0.677376,0.022656,0.8119885
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,0.680768,0.02368,0.828013
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,0.673152,0.032992,0.835203
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,0.684704,0.026048,0.827762
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,0.651648,0.043872,0.880601
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,0.017792,0.00592,0.103005
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,0.028192,0.005856,0.1220785
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,0.142368,0.011616,0.431006
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,0.054528,0.006944,0.181963
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,0.304192,0.018912,0.780741
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,0.69104,0.02208,0.828339
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,0.695008,0.023136,0.8357075
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,0.687232,0.032512,0.860439
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,0.700448,0.025504,0.848707
