engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,1,37,11,1,14425516,,1,1.0,
faiss-flat,1,38,20,1,14398024,,1,1.0,
faiss-flat,1,39,45,1,14443653,,1,1.0,
faiss-flat,1,40,5,1,14411334,,1,1.0,
faiss-flat,1,41,46,1,14190854,,1,1.0,
faiss-flat,1,42,56,1,14300048,,1,1.0,
faiss-flat,1,43,41,1,14274569,,1,1.0,
faiss-flat,1,44,44,1,14455721,,1,1.0,
faiss-flat,1,45,58,1,14319016,,1,1.0,
faiss-flat,1,46,43,1,14578826,,1,1.0,
faiss-flat,1,47,51,1,14946017,,1,1.0,
faiss-flat,1,48,48,1,14217444,,1,1.0,
faiss-flat,1,49,9,1,14125355,,1,1.0,
faiss-flat,1,50,19,1,14275301,,1,1.0,
faiss-flat,1,51,60,1,14276662,,1,1.0,
faiss-flat,1,52,23,1,14433508,,1,1.0,
faiss-flat,1,53,39,1,14442762,,1,1.0,
faiss-flat,1,54,28,1,14275801,,1,1.0,
faiss-flat,1,55,33,1,14191434,,1,1.0,
faiss-flat,1,56,37,1,14328430,,1,1.0,
faiss-flat,1,57,47,1,14369281,,1,1.0,
faiss-flat,1,58,25,1,14291455,,1,1.0,
faiss-flat,1,59,63,1,14244544,,1,1.0,
faiss-flat,1,60,17,1,14227348,,1,1.0,
faiss-flat,1,61,53,1,14260128,,1,1.0,
faiss-flat,1,62,21,1,14438935,,1,1.0,
faiss-flat,1,63,49,1,14328760,,1,1.0,
faiss-flat,2,0,3,1,14346357,,1,1.0,
faiss-flat,2,1,5,1,14319928,,1,1.0,
faiss-flat,2,2,37,1,14372557,,1,1.0,
faiss-flat,2,3,7,1,14346557,,1,1.0,
faiss-flat,2,4,31,1,14207178,,1,1.0,
faiss-flat,2,5,45,1,14046016,,1,1.0,
faiss-flat,2,6,15,1,13915250,,1,1.0,
faiss-flat,2,7,12,1,14267619,,1,1.0,
faiss-flat,2,8,57,1,14231385,,1,1.0,
faiss-flat,2,9,25,1,14297013,,1,1.0,
faiss-flat,2,10,59,1,14209852,,1,1.0,
faiss-flat,2,11,19,1,14259197,,1,1.0,
faiss-flat,2,12,27,1,14390173,,1,1.0,
faiss-flat,2,13,17,1,14305005,,1,1.0,
faiss-flat,2,14,46,1,14376383,,1,1.0,
faiss-flat,2,15,40,1,14396242,,1,1.0,
faiss-flat,2,16,41,1,14320709,,1,1.0,
faiss-flat,2,17,4,1,14266758,,1,1.0,
faiss-flat,2,18,11,1,14175871,,1,1.0,
faiss-flat,2,19,23,1,14121470,,1,1.0,
faiss-flat,2,20,36,1,14299516,,1,1.0,
faiss-flat,2,21,44,1,14361800,,1,1.0,
faiss-flat,2,22,35,1,14549151,,1,1.0,
faiss-flat,2,23,39,1,14545856,,1,1.0,
faiss-flat,2,24,1,1,14588029,,1,1.0,
faiss-flat,2,25,2,1,14502000,,1,1.0,
faiss-flat,2,26,32,1,14595060,,1,1.0,
faiss-flat,2,27,60,1,14536442,,1,1.0,
faiss-flat,2,28,42,1,14542862,,1,1.0,
faiss-flat,2,29,47,1,14609272,,1,1.0,
faiss-flat,2,30,33,1,14476352,,1,1.0,
faiss-flat,2,31,63,1,14010213,,1,1.0,
faiss-flat,2,32,13,1,14071555,,1,1.0,
faiss-flat,2,33,28,1,14405456,,1,1.0,
faiss-flat,2,34,16,1,14531594,,1,1.0,
faiss-flat,2,35,58,1,14421870,,1,1.0,
faiss-flat,2,36,29,1,14521350,,1,1.0,
faiss-flat,2,37,24,1,14564334,,1,1.0,
faiss-flat,2,38,8,1,14584144,,1,1.0,
faiss-flat,2,39,62,1,14468230,,1,1.0,
faiss-flat,2,40,51,1,14585886,,1,1.0,
faiss-flat,2,41,55,1,14609020,,1,1.0,
faiss-flat,2,42,21,1,14583984,,1,1.0,
faiss-flat,2,43,61,1,14732917,,1,1.0,
faiss-flat,2,44,43,1,14602071,,1,1.0,
faiss-flat,2,45,0,1,14535341,,1,1.0,
faiss-flat,2,46,48,1,14644214,,1,1.0,
faiss-flat,2,47,14,1,14633838,,1,1.0,
faiss-flat,2,48,9,1,14325836,,1,1.0,
faiss-flat,2,49,20,1,14578656,,1,1.0,
faiss-flat,2,50,49,1,14597093,,1,1.0,
faiss-flat,2,51,54,1,14482641,,1,1.0,
faiss-flat,2,52,6,1,14573709,,1,1.0,
faiss-flat,2,53,52,1,14661690,,1,1.0,
faiss-flat,2,54,50,1,14531936,,1,1.0,
faiss-flat,2,55,56,1,14553548,,1,1.0,
faiss-flat,2,56,38,1,14530162,,1,1.0,
faiss-flat,2,57,34,1,14502241,,1,1.0,
faiss-flat,2,58,10,1,14528390,,1,1.0,
faiss-flat,2,59,26,1,14645606,,1,1.0,
faiss-flat,2,60,53,1,14549011,,1,1.0,
faiss-flat,2,61,18,1,14172666,,1,1.0,
faiss-flat,2,62,22,1,14293879,,1,1.0,
faiss-flat,2,63,30,1,14561349,,1,1.0,
