run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,313,5000,546632910,555963681,559387879,171139171408,29.2159881274631,1.0,True
1,313,5000,546724256,556075979,560449722,171128011385,29.217893432718686,1.0,True
2,313,5000,542629663,552029948,556336080,169887422027,29.43125477061719,1.0,True
