run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,k,recall_at_k,recall_at_10,recall_target_passed
0,64,64,156141,165099,251875,11513468,5558.70741986689,10,1,1,true
1,64,64,156267,168556,238547,11218536,5704.844197139449,10,1,1,true
2,64,64,159259,166598,169695,11291189,5668.136455779812,10,1,1,true
