run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,6790,9645,10636,1266891,50517.368897561035,1,true
1,64,64,6931,9484,10676,1227843,52123.92789631899,1,true
2,64,64,6510,6960,9024,1142955,55995.20541053673,1,true
