engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
torch-cuda,0,1,64,12192625,12192625,12192625,14113057,4534.807731592099,10,1.0,1.0
torch-cuda,1,1,64,515684,515684,515684,2018098,31713.02880236738,10,1.0,1.0
torch-cuda,2,1,64,411197,411197,411197,1717898,37254.83119486721,10,1.0,1.0
