engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cpu,0,0,13,1,86442,,10,1.0,1.0
torch-cpu,0,1,11,1,116568,,10,1.0,1.0
torch-cpu,0,2,19,1,102411,,10,1.0,1.0
torch-cpu,0,3,46,1,101220,,10,1.0,1.0
torch-cpu,0,4,37,1,99557,,10,1.0,1.0
torch-cpu,0,5,27,1,103223,,10,1.0,1.0
torch-cpu,0,6,7,1,99205,,10,1.0,1.0
torch-cpu,0,7,15,1,115105,,10,1.0,1.0
torch-cpu,0,8,41,1,100909,,10,1.0,1.0
torch-cpu,0,9,50,1,99276,,10,1.0,1.0
torch-cpu,0,10,24,1,99597,,10,1.0,1.0
torch-cpu,0,11,8,1,99687,,10,1.0,1.0
torch-cpu,0,12,17,1,99466,,10,1.0,1.0
torch-cpu,0,13,23,1,111248,,10,1.0,1.0
torch-cpu,0,14,60,1,98955,,10,1.0,1.0
torch-cpu,0,15,49,1,99056,,10,1.0,1.0
torch-cpu,0,16,22,1,98575,,10,1.0,1.0
torch-cpu,0,17,25,1,99466,,10,1.0,1.0
torch-cpu,0,18,3,1,98033,,10,1.0,1.0
torch-cpu,0,19,16,1,109295,,10,1.0,1.0
torch-cpu,0,20,34,1,100208,,10,1.0,1.0
torch-cpu,0,21,31,1,98043,,10,1.0,1.0
torch-cpu,0,22,9,1,102742,,10,1.0,1.0
torch-cpu,0,23,12,1,97773,,10,1.0,1.0
torch-cpu,0,24,14,1,97523,,10,1.0,1.0
torch-cpu,0,25,2,1,98194,,10,1.0,1.0
torch-cpu,0,26,29,1,103324,,10,1.0,1.0
torch-cpu,0,27,30,1,101620,,10,1.0,1.0
torch-cpu,0,28,33,1,98794,,10,1.0,1.0
torch-cpu,0,29,53,1,102772,,10,1.0,1.0
torch-cpu,0,30,44,1,98614,,10,1.0,1.0
torch-cpu,0,31,35,1,98084,,10,1.0,1.0
torch-cpu,0,32,43,1,109054,,10,1.0,1.0
torch-cpu,0,33,55,1,101289,,10,1.0,1.0
torch-cpu,0,34,21,1,98524,,10,1.0,1.0
torch-cpu,0,35,39,1,102582,,10,1.0,1.0
torch-cpu,0,36,1,1,100818,,10,1.0,1.0
torch-cpu,0,37,56,1,98283,,10,1.0,1.0
torch-cpu,0,38,32,1,107521,,10,1.0,1.0
torch-cpu,0,39,45,1,98915,,10,1.0,1.0
torch-cpu,0,40,54,1,97854,,10,1.0,1.0
torch-cpu,0,41,18,1,99345,,10,1.0,1.0
torch-cpu,0,42,10,1,97763,,10,1.0,1.0
torch-cpu,0,43,51,1,98614,,10,1.0,1.0
torch-cpu,0,44,0,1,97433,,10,1.0,1.0
torch-cpu,0,45,47,1,103704,,10,1.0,1.0
torch-cpu,0,46,5,1,98515,,10,1.0,1.0
torch-cpu,0,47,63,1,98655,,10,1.0,1.0
torch-cpu,0,48,38,1,98254,,10,1.0,1.0
torch-cpu,0,49,48,1,97943,,10,1.0,1.0
torch-cpu,0,50,52,1,98093,,10,1.0,1.0
torch-cpu,0,51,20,1,111619,,10,1.0,1.0
torch-cpu,0,52,58,1,98965,,10,1.0,1.0
torch-cpu,0,53,61,1,97903,,10,1.0,1.0
torch-cpu,0,54,6,1,97512,,10,1.0,1.0
torch-cpu,0,55,59,1,99045,,10,1.0,1.0
torch-cpu,0,56,57,1,97672,,10,1.0,1.0
torch-cpu,0,57,62,1,105637,,10,1.0,1.0
torch-cpu,0,58,40,1,100498,,10,1.0,1.0
torch-cpu,0,59,28,1,100728,,10,1.0,1.0
torch-cpu,0,60,42,1,103423,,10,1.0,1.0
torch-cpu,0,61,26,1,108994,,10,1.0,1.0
torch-cpu,0,62,36,1,100347,,10,1.0,1.0
torch-cpu,0,63,4,1,98604,,10,1.0,1.0
torch-cpu,1,0,16,1,106629,,10,1.0,1.0
torch-cpu,1,1,14,1,100238,,10,1.0,1.0
torch-cpu,1,2,4,1,98013,,10,1.0,1.0
torch-cpu,1,3,36,1,98244,,10,1.0,1.0
torch-cpu,1,4,26,1,98174,,10,1.0,1.0
torch-cpu,1,5,30,1,98635,,10,1.0,1.0
torch-cpu,1,6,3,1,116548,,10,1.0,1.0
torch-cpu,1,7,32,1,99076,,10,1.0,1.0
torch-cpu,1,8,15,1,98013,,10,1.0,1.0
torch-cpu,1,9,10,1,97843,,10,1.0,1.0
torch-cpu,1,10,38,1,106569,,10,1.0,1.0
torch-cpu,1,11,24,1,98915,,10,1.0,1.0
torch-cpu,1,12,59,1,109905,,10,1.0,1.0
torch-cpu,1,13,54,1,101028,,10,1.0,1.0
torch-cpu,1,14,2,1,98575,,10,1.0,1.0
torch-cpu,1,15,34,1,99356,,10,1.0,1.0
torch-cpu,1,16,0,1,99165,,10,1.0,1.0
torch-cpu,1,17,50,1,99085,,10,1.0,1.0
torch-cpu,1,18,29,1,98283,,10,1.0,1.0
torch-cpu,1,19,13,1,104556,,10,1.0,1.0
torch-cpu,1,20,52,1,98234,,10,1.0,1.0
torch-cpu,1,21,55,1,98324,,10,1.0,1.0
torch-cpu,1,22,18,1,103444,,10,1.0,1.0
torch-cpu,1,23,31,1,98064,,10,1.0,1.0
torch-cpu,1,24,12,1,97483,,10,1.0,1.0
torch-cpu,1,25,7,1,108062,,10,1.0,1.0
torch-cpu,1,26,40,1,104004,,10,1.0,1.0
torch-cpu,1,27,35,1,99216,,10,1.0,1.0
torch-cpu,1,28,22,1,108543,,10,1.0,1.0
torch-cpu,1,29,27,1,98995,,10,1.0,1.0
torch-cpu,1,30,6,1,103534,,10,1.0,1.0
torch-cpu,1,31,57,1,98204,,10,1.0,1.0
torch-cpu,1,32,8,1,104345,,10,1.0,1.0
torch-cpu,1,33,42,1,99776,,10,1.0,1.0
torch-cpu,1,34,1,1,99235,,10,1.0,1.0
torch-cpu,1,35,61,1,102351,,10,1.0,1.0
torch-cpu,1,36,62,1,99185,,10,1.0,1.0
torch-cpu,1,37,11,1,102211,,10,1.0,1.0
torch-cpu,1,38,20,1,110276,,10,1.0,1.0
torch-cpu,1,39,45,1,106089,,10,1.0,1.0
torch-cpu,1,40,5,1,97372,,10,1.0,1.0
torch-cpu,1,41,46,1,98064,,10,1.0,1.0
torch-cpu,1,42,56,1,97462,,10,1.0,1.0
torch-cpu,1,43,41,1,96991,,10,1.0,1.0
torch-cpu,1,44,44,1,97582,,10,1.0,1.0
torch-cpu,1,45,58,1,101731,,10,1.0,1.0
torch-cpu,1,46,43,1,97432,,10,1.0,1.0
torch-cpu,1,47,51,1,97713,,10,1.0,1.0
torch-cpu,1,48,48,1,97803,,10,1.0,1.0
torch-cpu,1,49,9,1,97783,,10,1.0,1.0
torch-cpu,1,50,19,1,97002,,10,1.0,1.0
torch-cpu,1,51,60,1,109785,,10,1.0,1.0
torch-cpu,1,52,23,1,112520,,10,1.0,1.0
torch-cpu,1,53,39,1,98074,,10,1.0,1.0
torch-cpu,1,54,28,1,98154,,10,1.0,1.0
torch-cpu,1,55,33,1,98294,,10,1.0,1.0
torch-cpu,1,56,37,1,98394,,10,1.0,1.0
torch-cpu,1,57,47,1,98023,,10,1.0,1.0
torch-cpu,1,58,25,1,102061,,10,1.0,1.0
torch-cpu,1,59,63,1,98374,,10,1.0,1.0
torch-cpu,1,60,17,1,102031,,10,1.0,1.0
torch-cpu,1,61,53,1,98144,,10,1.0,1.0
torch-cpu,1,62,21,1,100007,,10,1.0,1.0
torch-cpu,1,63,49,1,102211,,10,1.0,1.0
torch-cpu,2,0,3,1,116698,,10,1.0,1.0
torch-cpu,2,1,5,1,104536,,10,1.0,1.0
torch-cpu,2,2,37,1,97442,,10,1.0,1.0
torch-cpu,2,3,7,1,98584,,10,1.0,1.0
torch-cpu,2,4,31,1,98915,,10,1.0,1.0
torch-cpu,2,5,45,1,101831,,10,1.0,1.0
torch-cpu,2,6,15,1,107731,,10,1.0,1.0
torch-cpu,2,7,12,1,99667,,10,1.0,1.0
torch-cpu,2,8,57,1,98113,,10,1.0,1.0
torch-cpu,2,9,25,1,97613,,10,1.0,1.0
torch-cpu,2,10,59,1,97492,,10,1.0,1.0
torch-cpu,2,11,19,1,96991,,10,1.0,1.0
torch-cpu,2,12,27,1,97332,,10,1.0,1.0
torch-cpu,2,13,17,1,111379,,10,1.0,1.0
torch-cpu,2,14,46,1,98214,,10,1.0,1.0
torch-cpu,2,15,40,1,97322,,10,1.0,1.0
torch-cpu,2,16,41,1,97142,,10,1.0,1.0
torch-cpu,2,17,4,1,97151,,10,1.0,1.0
torch-cpu,2,18,11,1,100889,,10,1.0,1.0
torch-cpu,2,19,23,1,98053,,10,1.0,1.0
torch-cpu,2,20,36,1,101550,,10,1.0,1.0
torch-cpu,2,21,44,1,98454,,10,1.0,1.0
torch-cpu,2,22,35,1,97923,,10,1.0,1.0
torch-cpu,2,23,39,1,102131,,10,1.0,1.0
torch-cpu,2,24,1,1,98354,,10,1.0,1.0
torch-cpu,2,25,2,1,99927,,10,1.0,1.0
torch-cpu,2,26,32,1,109455,,10,1.0,1.0
torch-cpu,2,27,60,1,103022,,10,1.0,1.0
torch-cpu,2,28,42,1,97512,,10,1.0,1.0
torch-cpu,2,29,47,1,97853,,10,1.0,1.0
torch-cpu,2,30,33,1,104495,,10,1.0,1.0
torch-cpu,2,31,63,1,102091,,10,1.0,1.0
torch-cpu,2,32,13,1,109124,,10,1.0,1.0
torch-cpu,2,33,28,1,99987,,10,1.0,1.0
torch-cpu,2,34,16,1,97623,,10,1.0,1.0
torch-cpu,2,35,58,1,104245,,10,1.0,1.0
torch-cpu,2,36,29,1,99686,,10,1.0,1.0
torch-cpu,2,37,24,1,100728,,10,1.0,1.0
torch-cpu,2,38,8,1,97873,,10,1.0,1.0
torch-cpu,2,39,62,1,108113,,10,1.0,1.0
torch-cpu,2,40,51,1,97983,,10,1.0,1.0
torch-cpu,2,41,55,1,98003,,10,1.0,1.0
torch-cpu,2,42,21,1,97793,,10,1.0,1.0
torch-cpu,2,43,61,1,96801,,10,1.0,1.0
torch-cpu,2,44,43,1,97732,,10,1.0,1.0
torch-cpu,2,45,0,1,104436,,10,1.0,1.0
torch-cpu,2,46,48,1,102501,,10,1.0,1.0
torch-cpu,2,47,14,1,97983,,10,1.0,1.0
torch-cpu,2,48,9,1,97312,,10,1.0,1.0
torch-cpu,2,49,20,1,97964,,10,1.0,1.0
torch-cpu,2,50,49,1,97011,,10,1.0,1.0
torch-cpu,2,51,54,1,97121,,10,1.0,1.0
torch-cpu,2,52,6,1,112871,,10,1.0,1.0
torch-cpu,2,53,52,1,98223,,10,1.0,1.0
torch-cpu,2,54,50,1,97402,,10,1.0,1.0
torch-cpu,2,55,56,1,97502,,10,1.0,1.0
torch-cpu,2,56,38,1,97202,,10,1.0,1.0
torch-cpu,2,57,34,1,96911,,10,1.0,1.0
torch-cpu,2,58,10,1,97343,,10,1.0,1.0
torch-cpu,2,59,26,1,99336,,10,1.0,1.0
torch-cpu,2,60,53,1,97483,,10,1.0,1.0
torch-cpu,2,61,18,1,97091,,10,1.0,1.0
torch-cpu,2,62,22,1,96992,,10,1.0,1.0
torch-cpu,2,63,30,1,111067,,10,1.0,1.0
