stage	cell	engine	status	exit_code
common	p1-r1000-d128-b1-f1	current-gpu	completed	0
baseline	p1-r1000-d128-b1-f1	baseline-cpu	completed	0
baseline	p1-r1000-d128-b1-f1	baseline-gpu	completed	0
