phase,cell,engine,n_blocks,sel_maxmin,score_maxmin,mat_maxmin,p50_maxmin,clk_end_min,clk_end_max,rho_sel_clk,p_sel_clk,rho_mat_dev,p_mat_dev
e0,b1-e3000,gpu-rows,10,2.440024860161591,2.018633540372671,2.1944854692710813,1.9654918739976037,405.0,900.0,-0.8282832108387959,0.0030747742235712376,0.5636363636363636,0.0897240283170912
e2,b1-e100,gpu-mask,5,1.0000454338936846,1.0015174506828528,1.0847457627118644,1.0421328869493405,2745.0,2745.0,,,-0.15811388300841897,0.7995251457913304
e2,b1-e100,gpu-predicate,5,1.0,1.0,1.0894085281980743,1.0183926198993365,2745.0,2745.0,,,,
e2,b1-e100,gpu-rows,5,1.0017889087656529,1.0171428571428571,1.011049723756906,1.054372062520494,1260.0,1455.0,-0.7071067811865475,0.1816901138162094,-0.051298917604257706,0.934712848108234
e2,b1-e1000,gpu-mask,5,1.0000450186827534,1.0,1.036414806909432,1.0143895455546583,2745.0,2745.0,,,0.6708203932499368,0.21516994256955022
e2,b1-e1000,gpu-predicate,5,1.0000900414190528,1.0,1.0302926578812255,1.0261488862439678,2745.0,2745.0,,,0.22360679774997894,0.7176856442107861
e2,b1-e1000,gpu-rows,5,1.2672521957340026,1.2226415094339622,1.295667263770712,1.1928072701921417,690.0,825.0,0.0,1.0,0.3,0.623837664781073
e2,b1-e10000,gpu-mask,5,1.0000455435624174,1.001001001001001,1.0562633234036087,1.0480918888386939,2745.0,2745.0,,,0.44721359549995787,0.45018485575210104
e2,b1-e10000,gpu-predicate,5,1.0000455435624174,1.0,1.0362328194023256,1.024300273737551,2745.0,2745.0,,,-0.6324555320336759,0.25221549635550466
e2,b1-e10000,gpu-rows,5,1.5210986504466832,1.5682819383259912,1.3724742751154815,1.425767085425536,450.0,720.0,-0.6,0.28475697986529386,0.7,0.1881204043741873
e2,b1-e100000,gpu-mask,5,1.0079145959874838,1.0,1.0523049917647116,1.0217526469495921,2775.0,2775.0,,,-0.3,0.623837664781073
e2,b1-e100000,gpu-predicate,5,1.0073214532393977,1.0001908761213971,1.0453190150985519,1.017784232015827,2775.0,2775.0,,,0.49999999999999994,0.3910022189557703
e2,b1-e100000,gpu-rows,5,1.0102659965677863,1.0,2.123723464666619,1.320737012710057,2775.0,2775.0,,,-0.15389675281277312,0.8048288166080632
e2,b1-e3000,gpu-mask,5,1.0000449984250552,1.0,1.524066528066528,1.1771702612159423,2745.0,2745.0,,,0.10540925533894596,0.8660377229253148
e2,b1-e3000,gpu-predicate,5,1.0000899968501102,1.0,1.2540313045147182,1.098389998599037,2745.0,2745.0,,,0.31622776601683794,0.6041813035905923
e2,b1-e3000,gpu-rows,5,2.4786575431736724,2.085526315789474,2.0097007110180236,1.7040847538406456,495.0,840.0,-0.6,0.28475697986529386,0.6,0.28475697986529386
e2,b1-e30000,gpu-mask,5,1.541286449399657,1.5908662900188324,1.606336919536836,1.584151612042185,1170.0,2055.0,-0.8999999999999998,0.03738607346849875,0.8999999999999998,0.03738607346849875
e2,b1-e30000,gpu-predicate,5,1.0713075315101364,1.0519319938176197,1.020810103268148,1.0248448725323411,1170.0,2100.0,0.7999999999999999,0.10408803866182788,-0.09999999999999999,0.8728885715695384
e2,b1-e30000,gpu-rows,5,1.1695541695541696,1.05900718076803,1.2978818922463229,1.2359141043488495,480.0,645.0,0.6668859288553501,0.21889398131323157,0.9999999999999999,1.4042654220543608e-24
e2,b16-e100,gpu-mask,5,1.0,1.0001240233163835,1.821808510638298,1.0970344883739085,2775.0,2775.0,,,0.8660254037844386,0.05766888562243734
e2,b16-e100,gpu-predicate,5,1.0000457540263543,1.0001129305477132,2.1070422535211266,1.133039827516212,2775.0,2775.0,,,0.11470786693528089,0.854270329246279
e2,b16-e100,gpu-rows,5,1.0,1.0,1.0658682634730539,1.0317927882173692,2520.0,2520.0,,,,
e2,b16-e1000,gpu-mask,5,1.0001362645348837,1.000116495806151,1.2366965477779897,1.0910276438929276,2775.0,2775.0,,,0.23684210526315794,0.701286739078067
e2,b16-e1000,gpu-predicate,5,1.000181702552921,1.0001071237279058,1.0684344236265482,1.0182450225160686,2775.0,2775.0,,,0.9210526315789475,0.0263105196855779
e2,b16-e1000,gpu-rows,5,1.0139049826187718,1.0237529691211402,1.0133614627285514,1.0411583536658533,1005.0,2520.0,-0.8947368421052632,0.04034313006075299,-0.5642880936468347,0.3217233358243003
e2,b16-e10000,gpu-mask,5,1.0004167052504862,1.0002240812668062,1.0206047408879666,1.00668813958103,2775.0,2775.0,,,-0.11180339887498947,0.8579446176050994
e2,b16-e10000,gpu-predicate,5,1.0001852194850898,1.0000714847380083,1.0097671280759621,1.0102573112662754,2775.0,2775.0,,,0.5270462766947299,0.3614548502018725
e2,b16-e10000,gpu-rows,5,1.0323697420806648,1.0341467620936449,1.0292163000318812,1.072065392849595,375.0,465.0,-0.7181848464596079,0.17179530490798894,-0.10259783520851541,0.8695979205185651
e2,b16-e3000,gpu-mask,5,1.0002268808421817,1.0001021867974658,1.0179883318928262,1.023663444454185,2775.0,2775.0,,,-0.19999999999999998,0.7470600781046621
e2,b16-e3000,gpu-predicate,5,1.0000453720508167,1.0000954107432496,2.1695052716950527,1.2102279698116867,2775.0,2775.0,,,-0.28867513459481287,0.6376180914006019
e2,b16-e3000,gpu-rows,5,1.27062121882839,1.2800205708408332,1.3403145103645462,1.3412566845914355,345.0,450.0,-0.9486832980505138,0.013846832988859059,0.7999999999999999,0.10408803866182788
