phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e2,b1-e100,1,100,3,gpu-rows,15000,1790248203.4934354,5.919688940048218,210.0,1455.0,27.0,49.52,182980,215640,17888.0,5600.0,171810.0,5490.0,12070.0,97680.0,23392.0
e2,b1-e100,1,100,3,gpu-predicate,15000,1790248104.6733274,19.412912845611572,210.0,2745.0,30.0,82.74,1005118,1053838,704352.0,22688.0,989838.0,7500.0,51170.0,823203.5,726976.0
e2,b1-e100,1,100,3,gpu-mask,15000,1790248154.1283302,19.335411548614502,210.0,2745.0,30.0,81.65,1000168,1037188,704320.0,21088.0,984963.0,7440.0,50034.5,811429.0,725376.0
e2,b1-e100,1,100,4,cpu,15000,1790248324.6340709,2.366053581237793,210.0,210.0,25.0,13.03,17260,19630,,,15170.0,,,,
e2,b1-e100,1,100,4,gpu-rows,15000,1790248239.4441798,5.986001491546631,210.0,1440.0,26.0,48.62,183299,226459,17888.0,5600.0,172054.5,5450.0,12100.0,97140.0,23392.0
e2,b1-e100,1,100,4,gpu-predicate,15000,1790248275.4644802,19.12876033782959,210.0,2745.0,30.0,83.25,989038,1067848,704352.0,22688.0,973888.5,7360.0,49909.5,814078.5,726976.0
e2,b1-e100,1,100,4,gpu-mask,15000,1790248357.0410528,18.968880891799927,210.0,2745.0,30.0,82.3,988088,1061088,704352.0,21088.0,973178.0,7080.0,48210.0,810653.5,725408.0
e2,b1-e1000,1,1000,0,cpu,15000,1790248511.3538547,6.009442329406738,210.0,210.0,25.0,12.35,109530,115880,,,107009.0,,,,
e2,b1-e1000,1,1000,0,gpu-rows,15000,1790248547.403064,9.649138927459717,210.0,825.0,25.0,27.09,284929,373620,55648.0,9504.0,233309.0,44660.0,13100.0,150414.5,65184.0
e2,b1-e1000,1,1000,0,gpu-predicate,15000,1790248406.0402482,22.63383173942566,210.0,2745.0,30.0,82.63,1053958,1115298,710816.0,23744.0,983868.0,59590.0,49820.0,821348.0,734464.0
e2,b1-e1000,1,1000,0,gpu-mask,15000,1790248458.71274,22.600321292877197,210.0,2745.0,30.0,81.87,1063347,1256028,710816.0,22240.0,992588.0,59980.0,51320.0,816128.0,732960.0
e2,b1-e1000,1,1000,1,cpu,15000,1790248587.0929766,6.029327392578125,210.0,210.0,24.0,14.09,112629,120390,,,110050.0,,,,
e2,b1-e1000,1,1000,1,gpu-rows,15000,1790248623.1619527,9.746286869049072,210.0,795.0,25.0,26.43,287539,339389,53376.0,9120.0,233724.0,45470.0,13770.0,150029.5,62816.0
e2,b1-e1000,1,1000,1,gpu-predicate,15000,1790248715.331656,21.714099407196045,210.0,2745.0,30.0,82.96,1032587,1065756,710784.0,23744.0,965431.5,58650.0,46660.0,814327.0,734464.0
e2,b1-e1000,1,1000,1,gpu-mask,15000,1790248662.938974,22.363880395889282,210.0,2745.0,29.0,82.08,1059026,1102646,710848.0,22240.0,989312.0,60049.0,50790.0,818472.5,732992.0
e2,b1-e1000,1,1000,2,cpu,15000,1790248911.7363064,6.129818677902222,210.0,210.0,26.0,13.37,115009,123269,,,112430.0,,,,
e2,b1-e1000,1,1000,2,gpu-rows,15000,1790248767.0852363,9.944695472717285,210.0,780.0,26.0,27.13,284009,361378,53280.0,9152.0,230899.5,46890.0,13460.0,148264.5,62720.0
e2,b1-e1000,1,1000,2,gpu-predicate,15000,1790248859.288415,22.404622554779053,210.0,2745.0,31.0,82.98,1046297,1100306,710784.0,23744.0,979017.0,58430.0,48689.0,821177.0,734432.0
