engine,run,batches,queries,p50_completed_ns,p95_completed_ns,p99_completed_ns,wall_ns,qps,k,recall_at_k,recall_at_10
faiss-flat,0,8,64,2952119,3055385,3055385,33661830,1901.263240887379,64,1.0,
faiss-flat,1,8,64,2685930,3226752,3226752,31720527,2017.6209556669723,64,1.0,
faiss-flat,2,8,64,2716476,3010818,3010818,32594098,1963.545670139422,64,1.0,
