run,batches,queries,p50_batch_ns,p95_batch_ns,p99_batch_ns,wall_ns,qps,recall_at_10,recall_target_passed
0,64,64,51832,60152,67382,4472681,14309.091124540293,1,true
1,64,64,52271,56952,62762,4394859,14562.469467166067,1,true
2,64,64,51761,64022,74232,4131400,15491.116812702714,1,true
